model,family,decision,recommended_member,n_common_members,core_period,core_grids,same_grid,context_count,missing_core,pr_Amon,evspsbl_Amon,mrro_Lmon,pr_start,pr_stop,evspsbl_start,evspsbl_stop,mrro_start,mrro_stop,tas_Amon,rsds_Amon,rsus_Amon,rlds_Amon,rlus_Amon,mrso_Lmon,lai_Lmon,snw_LImon,sftlf_fx,areacella_fx
MPI-ESM1-2-HR,MPI-ESM1-2,Eligible,r1i1p1f1,10,Flag,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
MPI-ESM1-2-LR,MPI-ESM1-2,Eligible,r1i1p1f1,45,Flag,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
NorESM2-LM,NorESM2,Eligible,r1i1p1f1,3,Flag,gn,True,8,,True,True,True,1950-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1848-10-25 00:00:00+00:00,,1848-10-25 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
NorESM2-MM,NorESM2,Eligible,r1i1p1f1,3,Flag,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1848-10-25 00:00:00+00:00,,1848-10-25 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
UKESM1-0-LL,UKESM1,Eligible,r1i1p1f2,19,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
UKESM1-1-LL,UKESM1,Eligible,r1i1p1f2,1,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,True,True,True,False,False
ACCESS-CM2,ACCESS-CM2,Eligible,r1i1p1f1,10,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,False,True,False,False
CAMS-CSM1-0,CAMS-CSM1-0,Eligible,r1i1p1f2,2,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
CAS-ESM2-0,CAS-ESM2-0,Eligible,r1i1p1f1,4,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
CMCC-CM2-HR4,CMCC-CM2,Eligible,r1i1p1f1,1,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
CMCC-CM2-SR5,CMCC-CM2,Eligible,r1i1p1f1,11,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
CMCC-ESM2,CMCC-ESM2,Eligible,r1i1p1f1,1,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
EC-Earth3,EC-Earth3,Eligible,r1i1p1f1,74,Flag,gr,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,False,True,False,False
FGOALS-g3,FGOALS-g3,Eligible,r1i1p1f1,6,Flag,gn,True,7,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,False,False,False
ICON-ESM-LR,ICON-ESM-LR,Eligible,r1i1p1f1,5,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False
INM-CM5-0,INM-CM5-0,Eligible,r1i1p1f1,10,Flag,gr1,True,7,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,False,False,False
FIO-ESM-2-0,FIO-ESM-2-0,Eligible,r1i1p1f1,3,Flag,gn,True,6,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 11:45:00+00:00,,True,True,True,True,True,False,True,False,False,False
BCC-CSM2-MR,BCC-CSM2-MR,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
BCC-ESM1,BCC-ESM1,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CESM2,CESM2,Eligible,r1i1p1f1,10,Pass,gn,True,8,,True,True,True,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 11:44:59+00:00,2014-12-15 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CESM2-FV2,CESM2,Eligible,r1i1p1f1,2,Pass,gn,True,8,,True,True,True,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 11:44:59+00:00,2014-12-15 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CESM2-WACCM,CESM2,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 11:44:59+00:00,2014-12-15 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CNRM-CM6-1,CNRM-CM6-1,Eligible,r1i1p1f2,29,Pass,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CanESM5,CanESM5,Eligible,r1i1p1f1,65,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CanESM5-1,CanESM5,Eligible,r1i1p1f1,72,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CanESM5-CanOE,CanESM5,Eligible,r1i1p2f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GFDL-CM4,GFDL-CM4,Eligible,r1i1p1f1,1,Pass,gr1,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GFDL-ESM4,GFDL-ESM4,Eligible,r1i1p1f1,1,Pass,gr1,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GISS-E2-1-G,GISS-E2-1,Eligible,r1i1p1f1,79,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GISS-E2-1-H,GISS-E2-1,Eligible,r1i1p1f1,25,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GISS-E2-2-G,GISS-E2-2,Eligible,r1i1p1f1,11,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
GISS-E2-2-H,GISS-E2-2,Eligible,r1i1p1f1,5,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
IPSL-CM6A-LR,IPSL-CM6A-LR,Eligible,r1i1p1f1,33,Pass,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
IPSL-CM6A-LR-INCA,IPSL-CM6A-LR,Eligible,r1i1p1f1,1,Pass,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
MIROC-ES2H,MIROC-ES2,Eligible,r1i1p4f2,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
MIROC-ES2L,MIROC-ES2,Eligible,r1i1p1f2,31,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
MPI-ESM-1-2-HAM,MPI-ESM1-2,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
MRI-ESM2-0,MRI-ESM2-0,Eligible,r1i2p1f1,12,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
SAM0-UNICON,SAM0-UNICON,Eligible,r1i1p1f1,1,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 11:45:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
TaiESM1,TaiESM1,Eligible,r1i1p1f1,2,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
EC-Earth3-AerChem,EC-Earth3,Eligible,r1i1p1f1,3,Pass,gr,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False
INM-CM4-8,INM-CM4-8,Eligible,r1i1p1f1,1,Pass,gr1,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,False,False,False
MIROC6,MIROC6,Eligible,r1i1p1f1,50,Pass,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False
CESM2-WACCM-FV2,CESM2,Eligible,r2i1p1f1,1,Pass,gn,True,6,,True,True,True,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 12:00:00+00:00,2014-12-15 12:00:00+00:00,1850-01-15 11:44:59+00:00,2014-12-15 12:00:00+00:00,True,True,True,True,True,True,False,False,False,False
FGOALS-f3-L,FGOALS-f3,Eligible,r1i1p1f1,3,Pass,"gn, gr",False,6,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,False,False,False
KACE-1-0-G,KACE-1-0-G,Eligible,r1i1p1f1,3,Pass,gr,True,5,,True,True,True,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,False,False,False,False,False
MCM-UA-1-0,MCM-UA-1-0,Eligible,r1i1p1f1,2,Pass,gn,True,2,,True,True,True,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,True,False,False,False,False,True,False,False,False,False
