zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
HD,LPJ-GUESS,LAI,E_soil,Equal-count bins,0.2270156111459003,0.8543720480338153,0.16823647288037902,0.5702789904164031,3.4138408000757057
HD,LPJ-GUESS,LAI,E_soil,LOWESS,0.2534515744401752,0.8639922442766577,0.17013080906335395,0.5735099838510997,3.4549790025376157
HD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.30880780325662205,0.8313430401615197,0.1637017750666039,0.605002067804769,3.5116810122976783
HD,LPJ-GUESS,LAI,E_soil,GAM,0.3201881403677127,0.8244706888558762,0.1623485236971132,0.5963806172244875,3.486712682533373
HD,LPJ-GUESS,LAI,E_soil,Piecewise linear,0.3198353862731146,0.8246845698646004,0.16239063952546534,0.5965183354850014,3.4682590905866464
HD,LPJ-GUESS,LAI,E_soil,Symbolic regression,0.15997099214103216,0.9164905551933616,0.1804683788388743,0.5830277547683553,3.4557928118289514
CW,CLASSIC,P,E_soil,Equal-width bins,0.03934221348290634,0.9798366588893012,0.16875184609290886,0.7533132438161873,3.942485943722296
CW,CLASSIC,P,E_soil,Equal-count bins,0.05802949502455845,0.9540757906490099,0.1643151942968502,0.7228554577165996,3.792795867662981
CW,CLASSIC,P,E_soil,LOWESS,0.08055102498823152,0.9588565340719435,0.16513855528359986,0.7266291296684597,3.85296420337108
CW,CLASSIC,P,E_soil,Polynomial degree 3,0.04401759559497154,0.9777205985919319,0.16838740873655425,0.7637598431183532,3.954419637053519
CW,CLASSIC,P,E_soil,GAM,0.08261256092804259,0.957780984191329,0.16495331927893306,0.7401763106230356,3.8745964205987486
CW,CLASSIC,P,E_soil,Piecewise linear,0.04469889543942862,0.97737214049686,0.16832739572694091,0.7631662960178864,3.9509377657265903
CW,CLASSIC,P,E_soil,Symbolic regression,0.017411070850179122,0.9912329926974756,0.17071457360608486,0.7644752969983546,4.021644898107961
CW,LPJ-GUESS,P,E_soil,Equal-width bins,0.25309877326532904,0.8617234922702787,0.13545943903361446,0.619630187762503,3.589442869593888
