analysis_group,zone,model,x_label,y_label,method,shape_label,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
all_zones_E_soil,HW,LPJ-GUESS,P,E_soil,Symbolic regression,Linear,3.493150716217043,1.871807682895597,1.8718076828955972,0.3976233476601602,0.287952710037978,0.8437952943835874,0.1399752080888933,0.6066974833508456,3.322573087075938
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Equal-width bins,Monotonic nonlinear,2.9111349720464466,1.0,0.9928140450850412,0.8355359797638187,0.6374936911610412,0.5812115219080396,0.1284643117090387,0.434641476956705,2.5228019648434996
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Equal-count bins,Monotonic nonlinear,2.7282556935647655,1.0,1.008623516602189,1.137205937875272,0.6056950651212495,0.5839142704147461,0.1290616961612548,0.4370700879529006,2.5413917096501755
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,3.117143186252864,1.0247919075583334,1.024816617147289,0.7574948652721731,0.6706130710546732,0.5738991517030472,0.126848069480629,0.4336746786554074,2.467561428593086
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Polynomial degree 3,Linear,3.2818828155528332,1.0,1.0,1.063049415659096,0.665423177428913,0.5784027224835556,0.1278434869813896,0.4442665435356033,2.4666307017791627
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,3.049792963384033,1.0522462591560937,1.0522462591560937,0.5251147760964192,0.6708933020671781,0.5736549729777738,0.1267940990228975,0.4359397964527005,2.4621075908272507
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Piecewise linear,Linear,3.094820524482071,1.0,1.0,1.137302644820845,0.6653464753597722,0.5784690183837015,0.1278581402648507,0.4430879174432749,2.483966749007132
all_zones_E_soil,HW,CLASSIC,LAI,E_soil,Symbolic regression,Linear,3.0385006882127383,1.0878130216148334,1.0878130216148334,1.6878309145621966,0.6551340168585684,0.587229117245711,0.1297943717888177,0.4440488080262456,2.511536023668331
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.0283632693915086,1.5748609120619634,1.5750441886734228,0.698640631036307,0.0447125518141886,0.9686658774682824,0.1606896941352161,0.6611037541590665,3.8792248447706896
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.054235381137269,1.486865745311417,1.355979860556901,1.89705220310616,0.0352851639313341,0.969960995193841,0.1609045381552543,0.6588992619239142,3.9243009649211062
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1.1560938182709144,1.8376089224484096,1.7027212489489625,1.2506475183170709,0.0442847323920471,0.9775679219941966,0.1621664332723332,0.668506333465448,3.9220247737237983
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,0.9980623518420788,1.9669498558476337,1.9669498558476337,0.2809682163380234,0.0859326391024464,0.956030573327086,0.1585936533795937,0.6920958375557258,3.864990097568344
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1.1688504774670052,1.824511106123191,1.824511106123191,0.3087554965473945,0.08792515369649,0.9549880111604174,0.1584207052046082,0.6898002142047721,3.869890985457785
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,1.2834659603792458,1.5457730449096685,1.5457730449096687,0.9561521209374292,0.0837150917090382,0.9571895463613288,0.1587859126784039,0.6931698210409957,3.8841215319927
all_zones_E_soil,HW,LPJ-GUESS,LAI,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,1.28332479879785,1.9469113310605015,1.946911331060502,0.5677420408576006,0.0321421051611061,0.9837584565720138,0.1631933664295564,0.676238418161537,3.928838727281791
all_zones_E_soil,HD,CLASSIC,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,2.14967951782253,1.683418616773411,1.6154440227038367,0.2240036718389971,0.6360955703150619,0.5263125566522238,0.1288764277202069,0.3796846991277934,2.353139649019554
all_zones_E_soil,HD,CLASSIC,P,E_soil,Equal-count bins,Monotonic nonlinear,2.489281655758096,1.0023348099645957,1.6194789420414215,0.1069769143944403,0.7540999637511081,0.4744329233419336,0.1161728322464579,0.3238420056313573,2.224203807322733
all_zones_E_soil,HD,CLASSIC,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,2.581533324513754,1.3177772292987098,2.9609157278424476,0.2033307811486929,0.7767289701963125,0.4724944445249338,0.1156981633030921,0.3204162174043498,2.2207073837961553
all_zones_E_soil,HD,CLASSIC,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,2.4773108602584357,1.3330036622696002,1.3330036622696004,0.3067780104607548,0.7744071136317732,0.474944889831615,0.116298195799861,0.3284889146312187,2.22763348859389
all_zones_E_soil,HD,CLASSIC,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,2.617413593672611,1.4091391770346828,1.409139177034683,0.1140546758026623,0.7777365563921013,0.4714270933049269,0.1154368045142533,0.3221394462187842,2.20692057776717
all_zones_E_soil,HD,CLASSIC,P,E_soil,Piecewise linear,Monotonic nonlinear,2.390077516697626,1.0,1.0,0.0366037371475688,0.761694917068145,0.4881431188971529,0.1195300028177647,0.3438615027360049,2.252438988721504
all_zones_E_soil,HD,CLASSIC,P,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,3.569510126641247,1.5810473368101674,1.5810473368101707,0.3696100141656395,0.7578378306665351,0.4920776817821742,0.1204934463131802,0.3359454460214408,2.236511552765883
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,2.9661130717823427,1.094812262640214,1.0872457285239276,0.3844371766712074,0.3032956091927113,0.8212142822651265,0.1617072967745413,0.5876373568262772,3.3219454231324748
