analysis_group,zone,model,x_label,y_label,method,status,reason,n_points
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,Symbolic regression,success,,21472
all_zones_E_soil,CD,CLASSIC,P,E_soil,Equal-width bins,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,Equal-count bins,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,LOWESS,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,Polynomial degree 3,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,GAM,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,Piecewise linear,success,,13445
all_zones_E_soil,CD,CLASSIC,P,E_soil,Symbolic regression,success,,13445
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,Equal-width bins,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,Equal-count bins,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,LOWESS,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,Polynomial degree 3,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,GAM,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,Piecewise linear,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,P,E_soil,Symbolic regression,success,,10397
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,Equal-width bins,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,Equal-count bins,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,LOWESS,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,Polynomial degree 3,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,GAM,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,Piecewise linear,success,,13445
all_zones_E_soil,CD,CLASSIC,LAI,E_soil,Symbolic regression,success,,13445
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,Equal-width bins,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,Equal-count bins,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,LOWESS,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,GAM,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,Piecewise linear,success,,10397
all_zones_E_soil,CD,LPJ-GUESS,LAI,E_soil,Symbolic regression,success,,10397
