zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
HW,LPJ-GUESS,LAI,T,Polynomial degree 3,4.4027180296937365,1.0,1.0,0.7088257452879693
HW,LPJ-GUESS,LAI,T,GAM,3.9342236448216106,1.0,1.0,0.5212942998273756
HW,LPJ-GUESS,LAI,T,Piecewise linear,4.0067503915522265,1.0,1.0,0.6164720426095353
HW,LPJ-GUESS,LAI,T,Symbolic regression,3.9119443304716985,1.3343480754537096,1.334348075453709,0.7196942092966205
HW,CLASSIC,P,E_soil,Equal-width bins,1.841624418127634,1.4425747992773883,1.4137874042337086,0.3299572644630477
HW,CLASSIC,P,E_soil,Equal-count bins,1.8305813046807204,1.0767811652221917,1.293445121450531,0.522508295600399
HW,CLASSIC,P,E_soil,LOWESS,1.806518465832608,1.4641010718495262,2.197305073787581,0.2965222364045284
HW,CLASSIC,P,E_soil,Polynomial degree 3,1.8009498798505954,1.7955110463201254,1.7955110463201254,8.139438873044476
HW,CLASSIC,P,E_soil,GAM,1.7579927960227713,1.4963904453631904,1.4963904453631902,1.3704707917677472
HW,CLASSIC,P,E_soil,Piecewise linear,2.6214494179343415,1.2313245849555363,1.2313245849555368,7.092760278678881
HW,CLASSIC,P,E_soil,Symbolic regression,20.281682742109716,1.8957157342514508,1.8957157342514517,0.5253651739420353
HW,LPJ-GUESS,P,E_soil,Equal-width bins,3.147842691749859,1.565636847708237,1.1898346649050184,0.4390279615110948
HW,LPJ-GUESS,P,E_soil,Equal-count bins,1.4475151206265915,1.058401025522545,1.1756558708271618,1.0037166384998126
HW,LPJ-GUESS,P,E_soil,LOWESS,2.9898677317881353,1.5806153770316456,0.922857489770882,0.671131652831788
HW,LPJ-GUESS,P,E_soil,Polynomial degree 3,1.9658588841153823,2.392217061984299,2.392217061984299,0.5459826523487837
HW,LPJ-GUESS,P,E_soil,GAM,2.929206222258712,1.7278862572280802,1.7278862572280802,0.0943429242182036
HW,LPJ-GUESS,P,E_soil,Piecewise linear,2.964654437941629,1.7948555184938948,1.7948555184938944,0.3791028504967443
HW,LPJ-GUESS,P,E_soil,Symbolic regression,3.493150716217043,1.871807682895597,1.8718076828955972,0.3976233476601602
HW,CLASSIC,LAI,E_soil,Equal-width bins,2.9111349720464466,1.0,0.9928140450850412,0.8355359797638187
HW,CLASSIC,LAI,E_soil,Equal-count bins,2.7282556935647655,1.0,1.008623516602189,1.137205937875272
