model,climate_zone,input_var,output_var,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant,n_samples,significant_years,significant_pct
CLASSIC,HD,precipitation,evspsblveg,0.4829850065373765,0.4848057678069568,0.005358024960657396,0.4746549743059591,0.4952883011903638,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,tran,0.44640130399673533,0.44799173038068124,0.006105521423666646,0.43623382168246366,0.4596020391610747,30,11827.333333333334,30,100.0
CLASSIC,HW,lai,evapotrans,0.36636980430891,0.36859089334203965,0.0069958545420056775,0.35479472030998155,0.38188114429725256,30,13249.1,30,100.0
CLASSIC,HW,lai,evspsblsoi,0.4003315580072334,0.40241793045126617,0.006270960324573031,0.39024039337612293,0.41433903392181076,30,13249.1,30,100.0
CLASSIC,HW,lai,evspsblveg,0.43421691376246496,0.4358601355142674,0.005525551274122172,0.42482621349638366,0.4461985582702805,30,13249.1,30,100.0
CLASSIC,HW,lai,tran,0.41032896076815917,0.41097875945474066,0.005845327860342082,0.39949117782789806,0.4219751219858593,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evapotrans,0.2831151071610959,0.2861633371399335,0.007648178280754561,0.2712520037583579,0.30070792030538834,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evspsblsoi,0.23516763658222295,0.23765930466054727,0.007794243380997245,0.22226918490255276,0.2525717918025378,30,13249.1,30,100.0
CLASSIC,HW,precipitation,evspsblveg,0.34720984578429465,0.34948078701514035,0.007325482360234117,0.3353520814084879,0.3636968183464433,30,13249.1,30,100.0
CLASSIC,HW,precipitation,tran,0.22176473969427166,0.22522202347057207,0.008133232843213491,0.2096602940642007,0.24078140249530514,30,13249.1,30,100.0
LPJ-GUESS,CD,lai,evapotrans,0.4885350250057705,0.49062169613971035,0.005013555817168978,0.48099947105430924,0.500234950412352,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,evspsblsoi,0.19623626425302346,0.19993433740239328,0.009171383400037649,0.18263921322610907,0.21812791566551687,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,evspsblveg,0.6033856434322069,0.6050915953876,0.004528088642747636,0.5965128074435788,0.6140669703138939,30,10702.0,30,100.0
LPJ-GUESS,CD,lai,tran,0.5812300310687311,0.5833343682032177,0.004607673498025457,0.5746282183924261,0.5922345623575004,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evapotrans,0.24875232590418475,0.25125743885349255,0.00839579003718872,0.23498991916119358,0.26752620923774295,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evspsblsoi,0.16161957439486227,0.1655345879623833,0.007677949505636833,0.1511988512690699,0.18057663187438744,30,10702.0,30,100.0
LPJ-GUESS,CD,precipitation,evspsblveg,0.24657379405782667,0.24784582261174706,0.007797855572907371,0.23272994015237797,0.26254494858333305,30,10702.0,30,100.0
