model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
LPJ-GUESS,1993,CW,evapotrans,precipitation,22450,0.32504483045078436,0.32489888743452916,0.005430034172862482,0.3131712573890785,0.33539751577083554,True
LPJ-GUESS,1993,CW,evapotrans,lai,22450,0.3647884187082405,0.3667379734155806,0.003896337251502714,0.3596675946547884,0.3736752046898727,True
LPJ-GUESS,1993,CW,tran,precipitation,22450,0.2991239877160076,0.29941455997237054,0.005714693108664784,0.2892312106721612,0.30948366101983416,True
LPJ-GUESS,1993,CW,tran,lai,22450,0.390467706013363,0.39175425792337504,0.003964035999822861,0.38404691438578265,0.39791638291019654,True
LPJ-GUESS,1993,CW,evspsblveg,precipitation,22450,0.22275075788817672,0.2246187369881417,0.004462226939200944,0.21628269601501451,0.2330792146325599,True
LPJ-GUESS,1993,CW,evspsblveg,lai,22450,0.5383518930957684,0.5382238997665143,0.0036349721727982486,0.5308343786627848,0.5443235293861004,True
LPJ-GUESS,1993,CW,evspsblsoi,precipitation,22450,0.1608151319772514,0.16103066779693054,0.004724853358744031,0.14979308922383994,0.16832933121420934,True
LPJ-GUESS,1993,CW,evspsblsoi,lai,22450,0.14808463251670373,0.1510997303891119,0.005737648356088568,0.13963946360552007,0.16267105372791352,True
LPJ-GUESS,1993,CD,evapotrans,precipitation,10760,0.3378728278723956,0.33739790551799337,0.006861519149061355,0.32504716469872785,0.348990823591379,True
LPJ-GUESS,1993,CD,evapotrans,lai,10760,0.5100371747211896,0.5118816543965417,0.00510308243118065,0.5027123065617705,0.5237838720402297,True
LPJ-GUESS,1993,CD,tran,precipitation,10760,0.29285866529979665,0.29021686557689497,0.007359164864629063,0.27217061437365564,0.30348341319473515,True
LPJ-GUESS,1993,CD,tran,lai,10760,0.6062267657992565,0.6082417709756174,0.004638463499932703,0.5992318060871228,0.6172525534119425,True
LPJ-GUESS,1993,CD,evspsblveg,precipitation,10760,0.324342742284084,0.327876123427424,0.006956869996790018,0.3145533207473009,0.34269192960932704,True
LPJ-GUESS,1993,CD,evspsblveg,lai,10760,0.6094330855018588,0.6102155128722002,0.004981537193864203,0.5996659427044038,0.6182909084032161,True
