model,climate_zone,input_var,output_var,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant,n_samples,significant_years,significant_pct
LPJ-GUESS,HD,lai,tran,0.5885752206993967,0.5898667121972491,0.0036828725131192717,0.5829978270648275,0.5969850471427585,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evapotrans,0.48343356163111423,0.4857833212312117,0.005469591801857277,0.4753566998499005,0.4960657389974617,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evspsblsoi,0.27359666490827433,0.27736851973054427,0.0076098779703677195,0.2628968907754171,0.29217352571013827,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evspsblveg,0.46516183368005615,0.46750936530509246,0.005555051947204999,0.4567869229535303,0.4780034958603673,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,tran,0.44611458351051236,0.4485863953543613,0.006032204996027854,0.4371834600906888,0.45982524141638437,30,11876.4,30,100.0
LPJ-GUESS,HW,lai,evapotrans,0.4312117390786315,0.4333714357352646,0.005691464492814366,0.4225005776022465,0.44417839438492024,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,lai,evspsblsoi,0.1352269081319139,0.13823404197150443,0.007898345883142671,0.12345255450927864,0.1526637152314308,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,lai,evspsblveg,0.4695251408982365,0.4716882538300356,0.005737684056755575,0.4605186424853786,0.4821328240911564,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,lai,tran,0.4705373305572721,0.4724612761612978,0.0044764959627204065,0.46396232302483337,0.4810128111427163,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,precipitation,evapotrans,0.3123764116039227,0.31526574567010596,0.006946332781637947,0.3020572602083663,0.3285594438931623,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,precipitation,evspsblsoi,0.11751809765902951,0.12129347804079435,0.0069509265329083325,0.10832337977976034,0.13467274782128288,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,precipitation,evspsblveg,0.356241300097765,0.35844884288385115,0.006966021423795265,0.3453727423936321,0.37142159476090375,30,13283.933333333332,30,100.0
LPJ-GUESS,HW,precipitation,tran,0.24539536251536848,0.248208970132445,0.007725392080285069,0.23350109228523921,0.262580375360333,30,13283.933333333332,30,100.0
