model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,1992,CD,evspsblsoi,precipitation,13396,0.32593363125582675,0.3288992723416473,0.0067246879805841825,0.3169424461668422,0.3410498129975511,True
CLASSIC,1992,CD,evspsblsoi,lai,13396,0.35055095528627395,0.3527348880992186,0.006148011065492228,0.3409043708247071,0.36465898490181886,True
CLASSIC,1993,HW,evapotrans,precipitation,13246,0.26188177847922767,0.26650942864963395,0.007296202762458439,0.2541215313739283,0.27929242030081275,True
CLASSIC,1993,HW,evapotrans,lai,13246,0.3287381713071901,0.32966547117593464,0.005784268274778787,0.3182258246198945,0.34070110942306614,True
CLASSIC,1993,HW,tran,precipitation,13246,0.2627106225019158,0.26499986779673734,0.008025555160931504,0.24905502515702704,0.2797094328139027,True
CLASSIC,1993,HW,tran,lai,13246,0.406950064391295,0.4095765657942868,0.005895847330970911,0.39660269459214864,0.42038677570395905,True
CLASSIC,1993,HW,evspsblveg,precipitation,13246,0.2856880966557366,0.28718117826726863,0.007850137025967168,0.273071860097522,0.30163675147481067,True
CLASSIC,1993,HW,evspsblveg,lai,13246,0.36629525575727995,0.36803110797973804,0.005834152553219745,0.35652907985368304,0.3792907167599786,True
CLASSIC,1993,HW,evspsblsoi,precipitation,13246,0.2636636478367268,0.2641815053073101,0.007316922073769403,0.2502847072138695,0.2775975900848157,True
CLASSIC,1993,HW,evspsblsoi,lai,13246,0.41425620676113717,0.41552851043183525,0.006868266105351026,0.4024964324524315,0.42809709597574525,True
CLASSIC,1993,HD,evapotrans,precipitation,11824,0.5012548683568823,0.5030895749847591,0.004268781502534014,0.49398232398082753,0.5103947600414913,True
CLASSIC,1993,HD,evapotrans,lai,11824,0.4635132249873497,0.46632568639217653,0.009627386990363593,0.44897472218024537,0.4841536235629617,True
CLASSIC,1993,HD,tran,precipitation,11824,0.42532789142047256,0.42874752556656814,0.006525662551281307,0.4165180320907341,0.4422279150269307,True
CLASSIC,1993,HD,tran,lai,11824,0.6147591351096396,0.6165588885130641,0.004157441798395658,0.6085025272113425,0.6242351189582296,True
CLASSIC,1993,HD,evspsblveg,precipitation,11824,0.47084645585908613,0.4730181296442143,0.005317420650568144,0.46247858466762376,0.4835712107633805,True
CLASSIC,1993,HD,evspsblveg,lai,11824,0.5849837377990561,0.588085210689952,0.006118224369623486,0.5770130658585049,0.6008469653394903,True
CLASSIC,1993,HD,evspsblsoi,precipitation,11824,0.430576877588865,0.4324873753341285,0.006385574575391562,0.4209540539419264,0.4457200468738036,True
CLASSIC,1993,HD,evspsblsoi,lai,11824,0.3742894518305677,0.37295911030615514,0.007577163696506037,0.3579607875448321,0.3859626808863043,True
