model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
LPJ-GUESS,1999,HD,tran,lai,11879,0.5589739327217229,0.5609674133442474,0.004681829938201672,0.5509250009057628,0.5701435742558165,True
LPJ-GUESS,1999,HD,evspsblveg,precipitation,11879,0.4181743212457568,0.4220011608038283,0.005879936699606367,0.41139624008879133,0.4321532912908607,True
LPJ-GUESS,1999,HD,evspsblveg,lai,11879,0.5662126427447582,0.5684972629185904,0.00392315163829711,0.561897449834057,0.5758689485815479,True
LPJ-GUESS,1999,HD,evspsblsoi,precipitation,11879,0.2982217635680811,0.30068111029892736,0.00633055573322704,0.2887953384843623,0.31180700240499193,True
LPJ-GUESS,1999,HD,evspsblsoi,lai,11879,0.24533713683684216,0.24838197797879133,0.00839746249018696,0.23107087015187724,0.26450186083589555,True
LPJ-GUESS,1999,CW,evapotrans,precipitation,22360,0.24590697994868005,0.2474513572890485,0.006274382505668549,0.2357732600638703,0.26118108270759277,True
LPJ-GUESS,1999,CW,evapotrans,lai,22360,0.3492397137745975,0.3509742171201905,0.003817464190133783,0.3430950326392316,0.3580204154600968,True
LPJ-GUESS,1999,CW,tran,precipitation,22360,0.22186491335448838,0.22474357410589468,0.006307072749786354,0.21240101862576738,0.2371791335281068,True
LPJ-GUESS,1999,CW,tran,lai,22360,0.3723389982110913,0.3740760291188774,0.003789437028929126,0.36579750811691286,0.38049594086844846,True
LPJ-GUESS,1999,CW,evspsblveg,precipitation,22360,0.21218901387305558,0.21205942467898922,0.005820999639679829,0.20079740806632224,0.22539785094913006,True
LPJ-GUESS,1999,CW,evspsblveg,lai,22360,0.547160107334526,0.5476122780134862,0.003829804791238437,0.5397773016166508,0.5546392884274218,True
LPJ-GUESS,1999,CW,evspsblsoi,precipitation,22360,0.14830135782421272,0.1493851564410336,0.004507191593615901,0.14145376759500466,0.1579316191756943,True
LPJ-GUESS,1999,CW,evspsblsoi,lai,22360,0.1489042933810376,0.15159738848891136,0.0062265531572666755,0.13951361072884566,0.1638001466233448,True
LPJ-GUESS,1999,CD,evapotrans,precipitation,10698,0.256638646794646,0.2608604634735317,0.008655388154943815,0.24699946526806157,0.28008145619493224,True
LPJ-GUESS,1999,CD,evapotrans,lai,10698,0.47641848283827304,0.4791020995432099,0.004728401096320305,0.4706993218071443,0.487541332124171,True
LPJ-GUESS,1999,CD,tran,precipitation,10698,0.24228128072846203,0.24360250024250021,0.008039025725984755,0.2284503361631108,0.2602648662889518,True
LPJ-GUESS,1999,CD,tran,lai,10698,0.5710399995200011,0.5722459387230038,0.004151725101696416,0.5639139730686792,0.5809623900909258,True
LPJ-GUESS,1999,CD,evspsblveg,precipitation,10698,0.27257421434949464,0.2751515396653229,0.008026291306001129,0.2596299030371354,0.2924944277801645,True
LPJ-GUESS,1999,CD,evspsblveg,lai,10698,0.6028289854160879,0.6040501516734456,0.003735705578720019,0.5973674070572779,0.6107090720231813,True
LPJ-GUESS,1999,CD,evspsblsoi,precipitation,10698,0.16370109357500662,0.16804170024645904,0.008016818254740833,0.15233140253613267,0.1846802810024188,True
LPJ-GUESS,1999,CD,evspsblsoi,lai,10698,0.17670924602904203,0.18125589034683146,0.007904711955998855,0.16641522033273523,0.19497533145486817,True
LPJ-GUESS,2000,HW,evapotrans,precipitation,13256,0.3629737386239771,0.36293277504632654,0.007538132976002098,0.34935271609933394,0.37760932528855873,True
LPJ-GUESS,2000,HW,evapotrans,lai,13256,0.4575627853107831,0.4578548965983682,0.006512632113373921,0.44590844801154744,0.47103038650060386,True
LPJ-GUESS,2000,HW,tran,precipitation,13256,0.2759054222102463,0.27711623334815727,0.008611317127621308,0.2612771237902717,0.2939328760837286,True
LPJ-GUESS,2000,HW,tran,lai,13256,0.41826472491187383,0.4209862485286221,0.0062288171098295155,0.4088984385081983,0.4324228992346312,True
LPJ-GUESS,2000,HW,evspsblveg,precipitation,13256,0.3971560207333985,0.3991538609255245,0.007040420977703324,0.3870429255516967,0.4127575711522793,True
LPJ-GUESS,2000,HW,evspsblveg,lai,13256,0.5008202423368265,0.5035022002064448,0.005095571118306204,0.49308232730385965,0.5127658122188627,True
LPJ-GUESS,2000,HW,evspsblsoi,precipitation,13256,0.1388438715113302,0.1439562116753801,0.006668389992569535,0.1308168942424732,0.15668807604017074,True
LPJ-GUESS,2000,HW,evspsblsoi,lai,13256,0.11768153480230586,0.12415495186590961,0.0076513755227283625,0.1102015039007538,0.13830046450449085,True
LPJ-GUESS,2000,HD,evapotrans,precipitation,11881,0.49126485842867557,0.4935534391401922,0.004889688827778725,0.4836679147059671,0.5023637418983244,True
LPJ-GUESS,2000,HD,evapotrans,lai,11881,0.47415071796437,0.4772807770086411,0.006147546019448351,0.46475776802567403,0.4893919164402506,True
LPJ-GUESS,2000,HD,tran,precipitation,11881,0.44283390550843804,0.4448888589248753,0.006384453552442762,0.4319189494091592,0.4570826491281228,True
LPJ-GUESS,2000,HD,tran,lai,11881,0.5733485855950295,0.5754283148121712,0.0039257910410873805,0.5672211198520962,0.5835060076587073,True
LPJ-GUESS,2000,HD,evspsblveg,precipitation,11881,0.42648336702286793,0.4288904135134064,0.005491589872005247,0.4188239288235429,0.439658220274223,True
LPJ-GUESS,2000,HD,evspsblveg,lai,11881,0.5585769245919907,0.5601639041253549,0.004513563731547715,0.5505373181205412,0.5685397362865101,True
