model,year,climate_zone,input_var,output_var,hsic,n_samples
LPJ-GUESS,1995,CW,lai,evapotrans,0.4960232153777156,22386
LPJ-GUESS,1995,CW,precipitation,tran,0.21023566986832976,22386
LPJ-GUESS,1995,CW,lai,tran,0.528869728151679,22386
LPJ-GUESS,1995,CW,precipitation,evspsblveg,0.20051685813662315,22386
LPJ-GUESS,1995,CW,lai,evspsblveg,0.7652755315963035,22386
LPJ-GUESS,1995,CW,precipitation,evspsblsoi,0.09189785566793462,22386
LPJ-GUESS,1995,CW,lai,evspsblsoi,0.031421178466113954,22386
LPJ-GUESS,1995,CD,precipitation,evapotrans,0.22056289059893253,10734
LPJ-GUESS,1995,CD,lai,evapotrans,0.7883557483875838,10734
LPJ-GUESS,1995,CD,precipitation,tran,0.15067090696246968,10734
LPJ-GUESS,1995,CD,lai,tran,0.888474812517995,10734
LPJ-GUESS,1995,CD,precipitation,evspsblveg,0.21045359757753246,10734
LPJ-GUESS,1995,CD,lai,evspsblveg,0.7721234701189805,10734
LPJ-GUESS,1995,CD,precipitation,evspsblsoi,0.18482766827820032,10734
LPJ-GUESS,1995,CD,lai,evspsblsoi,0.03589860337159514,10734
LPJ-GUESS,1996,HW,precipitation,evapotrans,0.4274214983039635,13295
LPJ-GUESS,1996,HW,lai,evapotrans,0.6518803234571782,13295
LPJ-GUESS,1996,HW,precipitation,tran,0.281315970675889,13295
LPJ-GUESS,1996,HW,lai,tran,0.715718258941664,13295
LPJ-GUESS,1996,HW,precipitation,evspsblveg,0.5290802630117942,13295
LPJ-GUESS,1996,HW,lai,evspsblveg,0.7016174341119508,13295
LPJ-GUESS,1996,HW,precipitation,evspsblsoi,0.05474875134715311,13295
LPJ-GUESS,1996,HW,lai,evspsblsoi,0.03385196680843923,13295
LPJ-GUESS,1996,HD,precipitation,evapotrans,0.6156396878360989,11871
LPJ-GUESS,1996,HD,lai,evapotrans,0.7088475977758844,11871
LPJ-GUESS,1996,HD,precipitation,tran,0.5683453910973983,11871
LPJ-GUESS,1996,HD,lai,tran,0.83566173346063,11871
LPJ-GUESS,1996,HD,precipitation,evspsblveg,0.5286063329007179,11871
LPJ-GUESS,1996,HD,lai,evspsblveg,0.7805970981724984,11871
LPJ-GUESS,1996,HD,precipitation,evspsblsoi,0.19282260673350907,11871
LPJ-GUESS,1996,HD,lai,evspsblsoi,0.16099397568024318,11871
LPJ-GUESS,1996,CW,precipitation,evapotrans,0.27664069267026614,22423
LPJ-GUESS,1996,CW,lai,evapotrans,0.511556410341917,22423
LPJ-GUESS,1996,CW,precipitation,tran,0.23430524198444228,22423
LPJ-GUESS,1996,CW,lai,tran,0.5241857688146301,22423
