model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1995,CD,precipitation,evspsblveg,0.3874698622099772,13440
CLASSIC,1995,CD,lai,evspsblveg,0.8567963752637804,13440
CLASSIC,1995,CD,precipitation,evspsblsoi,0.3266258037335321,13440
CLASSIC,1995,CD,lai,evspsblsoi,0.4055737419434234,13440
CLASSIC,1996,HW,precipitation,evapotrans,0.3557245069617798,13255
CLASSIC,1996,HW,lai,evapotrans,0.44129454108351507,13255
CLASSIC,1996,HW,precipitation,tran,0.2588051763986608,13255
CLASSIC,1996,HW,lai,tran,0.5934443159283959,13255
CLASSIC,1996,HW,precipitation,evspsblveg,0.4445799277741802,13255
CLASSIC,1996,HW,lai,evspsblveg,0.6644623145868297,13255
CLASSIC,1996,HW,precipitation,evspsblsoi,0.13172189196642436,13255
CLASSIC,1996,HW,lai,evspsblsoi,0.5223381262753667,13255
CLASSIC,1996,HD,precipitation,evapotrans,0.6252152604806611,11826
CLASSIC,1996,HD,lai,evapotrans,0.5493743424733155,11826
CLASSIC,1996,HD,precipitation,tran,0.51277120392916,11826
CLASSIC,1996,HD,lai,tran,0.8689636462345264,11826
CLASSIC,1996,HD,precipitation,evspsblveg,0.6049534525974601,11826
CLASSIC,1996,HD,lai,evspsblveg,0.8302162919173616,11826
CLASSIC,1996,HD,precipitation,evspsblsoi,0.43088198318524773,11826
CLASSIC,1996,HD,lai,evspsblsoi,0.29375264119042743,11826
CLASSIC,1996,CW,precipitation,evapotrans,0.2912364150059244,22457
CLASSIC,1996,CW,lai,evapotrans,0.22420676451294558,22457
CLASSIC,1996,CW,precipitation,tran,0.20141573748466596,22457
CLASSIC,1996,CW,lai,tran,0.4284582401432172,22457
CLASSIC,1996,CW,precipitation,evspsblveg,0.3209510965626596,22457
CLASSIC,1996,CW,lai,evspsblveg,0.7681124416157384,22457
CLASSIC,1996,CW,precipitation,evspsblsoi,0.04569335540385819,22457
CLASSIC,1996,CW,lai,evspsblsoi,0.14190337192441102,22457
CLASSIC,1996,CD,precipitation,evapotrans,0.4111273676705712,13045
CLASSIC,1996,CD,lai,evapotrans,0.5614229063741344,13045
CLASSIC,1996,CD,precipitation,tran,0.305589293635268,13045
CLASSIC,1996,CD,lai,tran,0.7983560261742083,13045
CLASSIC,1996,CD,precipitation,evspsblveg,0.38066815095533113,13045
CLASSIC,1996,CD,lai,evspsblveg,0.8193830637547648,13045
CLASSIC,1996,CD,precipitation,evspsblsoi,0.3597163404821721,13045
CLASSIC,1996,CD,lai,evspsblsoi,0.4188397480700113,13045
CLASSIC,1997,HW,precipitation,evapotrans,0.2753698067189121,13273
CLASSIC,1997,HW,lai,evapotrans,0.4401711314232641,13273
CLASSIC,1997,HW,precipitation,tran,0.2278183655253503,13273
CLASSIC,1997,HW,lai,tran,0.5505860633038197,13273
CLASSIC,1997,HW,precipitation,evspsblveg,0.39322945649661956,13273
CLASSIC,1997,HW,lai,evspsblveg,0.6455928397676726,13273
CLASSIC,1997,HW,precipitation,evspsblsoi,0.1670309064934217,13273
CLASSIC,1997,HW,lai,evspsblsoi,0.49926655666911657,13273
CLASSIC,1997,HD,precipitation,evapotrans,0.6917039082259714,11823
CLASSIC,1997,HD,lai,evapotrans,0.6143345855796657,11823
CLASSIC,1997,HD,precipitation,tran,0.4795667678349854,11823
CLASSIC,1997,HD,lai,tran,0.8664446102628526,11823
CLASSIC,1997,HD,precipitation,evspsblveg,0.5656555194227642,11823
CLASSIC,1997,HD,lai,evspsblveg,0.870816238984975,11823
CLASSIC,1997,HD,precipitation,evspsblsoi,0.5509147163353953,11823
CLASSIC,1997,HD,lai,evspsblsoi,0.3179959255614682,11823
CLASSIC,1997,CW,precipitation,evapotrans,0.31957253637358296,22370
CLASSIC,1997,CW,lai,evapotrans,0.22041030722562696,22370
CLASSIC,1997,CW,precipitation,tran,0.27930777808621154,22370
CLASSIC,1997,CW,lai,tran,0.4654473486854498,22370
CLASSIC,1997,CW,precipitation,evspsblveg,0.3573475160395635,22370
CLASSIC,1997,CW,lai,evspsblveg,0.776983855501891,22370
CLASSIC,1997,CW,precipitation,evspsblsoi,0.03147125812364173,22370
CLASSIC,1997,CW,lai,evspsblsoi,0.1620712311527495,22370
CLASSIC,1997,CD,precipitation,evapotrans,0.4202838169828898,13399
CLASSIC,1997,CD,lai,evapotrans,0.5468125801297461,13399
CLASSIC,1997,CD,precipitation,tran,0.3162603619554051,13399
CLASSIC,1997,CD,lai,tran,0.7904421642590523,13399
CLASSIC,1997,CD,precipitation,evspsblveg,0.35563884961370623,13399
CLASSIC,1997,CD,lai,evspsblveg,0.7913507704569024,13399
CLASSIC,1997,CD,precipitation,evspsblsoi,0.37703525036348484,13399
CLASSIC,1997,CD,lai,evspsblsoi,0.4258700124416768,13399
CLASSIC,1998,HW,precipitation,evapotrans,0.3092028132447361,13255
CLASSIC,1998,HW,lai,evapotrans,0.5260709422875857,13255
CLASSIC,1998,HW,precipitation,tran,0.21902254971022528,13255
CLASSIC,1998,HW,lai,tran,0.5832736799259699,13255
CLASSIC,1998,HW,precipitation,evspsblveg,0.42107198404191587,13255
CLASSIC,1998,HW,lai,evspsblveg,0.6816359027141701,13255
CLASSIC,1998,HW,precipitation,evspsblsoi,0.1459122445469072,13255
CLASSIC,1998,HW,lai,evspsblsoi,0.4726258625483222,13255
CLASSIC,1998,HD,precipitation,evapotrans,0.6708677903612014,11823
