property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC,1.0,0.8399,0.1601,Clustering,Separated clusters,1,0.7822,0.0314,0.6789,0.9013,0.7197,0.8408,0.1211,0.2224,1000,1.3223,5.0935,True,False,0.039
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MEV,1.0,0.8399,0.1601,Clustering,Separated clusters,1,0.7821,0.0317,0.6789,0.9013,0.7184,0.8408,0.1224,0.2224,1000,1.3079,5.0554,True,False,0.0377
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_residual_sd,0.0319,0.0557,0.0238,Clustering,Separated clusters,1,0.0581,0.0034,0.0474,0.0702,0.0519,0.0649,0.013,0.0228,1000,1.8354,7.0906,True,True,0.0108
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_early_slope,0.5799,1.5063,0.9264,Convexity / Concavity,Concave,1,1.7706,0.1715,1.2808,2.3023,1.4271,2.098,0.6709,1.0216,1000,1.3808,5.4017,True,False,0.2555
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_late_slope,1.1209,0.2413,0.8796,Convexity / Concavity,Concave,1,0.1154,0.174,-0.432,0.6128,-0.2137,0.4476,0.6613,1.0448,1000,1.3301,5.0549,True,False,0.2183
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_early_slope,0.7887,1.6581,0.8694,Convexity / Concavity,Concave,1,1.8732,0.1667,1.3095,2.3346,1.5154,2.1686,0.6532,1.0251,1000,1.331,5.2151,True,False,0.2162
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_curve_amplitude,0.6817,0.8343,0.1526,Convexity / Concavity,Concave,1,0.8556,0.0169,0.8046,0.9075,0.825,0.8907,0.0658,0.103,1000,2.3202,9.027,True,True,0.0868
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_amplitude,0.6154,0.7358,0.1204,Convexity / Concavity,Concave,1,0.7547,0.0119,0.7156,0.7956,0.7307,0.7771,0.0464,0.08,1000,2.5923,10.0876,True,True,0.074
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,pearson_r,0.9816,0.9204,0.0612,Convexity / Concavity,Concave,1,0.9145,0.0049,0.8979,0.9294,0.9051,0.9241,0.019,0.0316,1000,3.2255,12.5847,True,True,0.0422
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_early_buffer_width,0.1048,0.1975,0.0927,Convexity / Concavity,Concave,1,0.1921,0.016,0.1416,0.2672,0.1605,0.2228,0.0623,0.1256,1000,1.489,5.7884,True,False,0.0304
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,distance_correlation,0.9809,0.9409,0.04,Convexity / Concavity,Concave,1,0.9364,0.0044,0.9212,0.9491,0.9276,0.9452,0.0176,0.0279,1000,2.2694,9.0956,True,True,0.0224
