property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Convexity,1,5,y_sd,Positive direction,Convex,Convex,0.0519,0.0116,4.4706,4.4706,0.0403,0.2006,0.2525,0.2524,0.0029,0.2466,0.2582,0.243,0.2623,0.0194
Convexity,2,5,equal_width_distribution_wasserstein_distance_div_y_sd,Positive direction,Convex,Convex,0.3024,0.0689,4.3917,4.3917,0.2335,2.2073,1.9049,1.9006,0.0177,1.8656,1.9345,1.8462,1.9534,0.1071
Convexity,3,5,equal_count_distribution_wasserstein_distance_div_y_sd,Positive direction,Convex,Convex,0.3024,0.0689,4.3917,4.3917,0.2335,2.2073,1.9049,1.9006,0.0177,1.8656,1.9345,1.8462,1.9534,0.1071
Convexity,4,5,pearson_r,Positive direction,Convex,Convex,0.0669,0.018,3.715,3.715,0.0489,0.9816,0.9147,0.9149,0.0046,0.9058,0.9238,0.8996,0.9271,0.0275
Convexity,5,5,covariance,Positive direction,Convex,Convex,0.01,0.0033,2.994,2.994,0.0067,0.0573,0.0673,0.0673,0.0008,0.0656,0.0689,0.0646,0.0698,0.0052
Density,1,5,x_uniform_ks_distance,Even coverage,Uneven coverage,Uneven coverage,0.3085,0.0263,11.7331,11.7331,0.2822,0.0059,0.3144,0.3176,0.0064,0.3057,0.332,0.2911,0.3479,0.0568
Density,2,5,equal_width_bin_x_bin_count_cv,Even coverage,Uneven coverage,Uneven coverage,0.701,0.148,4.7356,4.7356,0.553,0.0,0.701,0.6991,0.0369,0.6274,0.7755,0.583,0.8379,0.2549
Density,3,5,equal_count_distribution_wasserstein_distance_div_y_sd,Even coverage,Uneven coverage,Uneven coverage,0.2841,0.1318,2.1558,2.1558,0.1523,2.1815,1.8974,1.9341,0.034,1.8654,1.9972,1.805,2.0445,0.2395
Density,4,5,equal_count_distribution_wasserstein_distance,Even coverage,Uneven coverage,Uneven coverage,0.0742,0.0683,1.0867,1.0867,0.0059,0.4162,0.342,0.3571,0.0179,0.3243,0.3926,0.2947,0.4294,0.1347
Density,5,5,spearman_rho,Even coverage,Uneven coverage,Uneven coverage,0.0269,0.028,0.9601,0.9601,-0.0011,0.9812,0.9543,0.9537,0.0072,0.9381,0.9662,0.9255,0.9723,0.0468
Direction,1,5,spearman_rho,Positive direction,Negative direction,Negative direction,1.9631,0.0082,239.3989,239.3989,1.9549,0.9825,-0.9806,-0.9812,0.0021,-0.985,-0.9768,-0.9869,-0.9743,0.0127
Direction,2,5,pearson_r,Positive direction,Negative direction,Negative direction,1.9609,0.0082,238.9048,238.9048,1.9527,0.9816,-0.9793,-0.9802,0.0021,-0.9841,-0.9759,-0.986,-0.9736,0.0124
Direction,3,5,covariance,Positive direction,Negative direction,Negative direction,0.1161,0.0035,33.2297,33.2297,0.1126,0.0573,-0.0588,-0.0577,0.0009,-0.0594,-0.0559,-0.0608,-0.055,0.0058
Direction,4,5,raw_overall_slope,Positive direction,Negative direction,Negative direction,1.416,0.2273,6.2298,6.2298,1.1887,0.6814,-0.7346,-0.6794,0.0573,-0.7963,-0.569,-0.8453,-0.4877,0.3576
Direction,5,5,raw_late_slope,Positive direction,Negative direction,Negative direction,1.5239,0.6802,2.2405,2.2405,0.8437,0.8242,-0.6997,-0.6824,0.169,-1.0107,-0.3306,-1.2334,-0.0552,1.1781
Heteroscedasticity,1,5,gam_residual_sd,Constant spread,Changing spread,Changing spread,0.0683,0.0293,2.331,2.331,0.039,0.0687,0.137,0.1166,0.0073,0.1018,0.1311,0.0954,0.1396,0.0442
Heteroscedasticity,2,5,lowess_residual_sd,Constant spread,Changing spread,Changing spread,0.0711,0.031,2.2922,2.2922,0.0401,0.0686,0.1397,0.1171,0.0077,0.1018,0.1328,0.0951,0.1398,0.0446
Heteroscedasticity,3,5,equal_width_bin_late_minus_early_buffer_width,Constant spread,Changing spread,Changing spread,0.3418,0.1625,2.1039,2.1039,0.1793,-0.01,0.3318,0.2837,0.0426,0.2009,0.3633,0.1598,0.4254,0.2656
Heteroscedasticity,4,5,lowess_residual_sd_div_y_sd,Constant spread,Changing spread,Changing spread,0.2616,0.1305,2.0048,2.0048,0.1311,0.3266,0.5882,0.5165,0.0337,0.4506,0.5811,0.4021,0.6441,0.242
Heteroscedasticity,5,5,gam_residual_sd_div_y_sd,Constant spread,Changing spread,Changing spread,0.2501,0.1267,1.9737,1.9737,0.1234,0.3269,0.577,0.5144,0.0325,0.45,0.5768,0.4047,0.6268,0.2221
Monotonicity,1,5,pearson_r,Monotonic,Non-monotonic,Monotonic,0.982,0.0086,114.719,114.719,0.9734,0.9803,-0.0017,0.9803,0.0022,0.9757,0.9842,0.9732,0.9877,0.0145
Monotonicity,2,5,spearman_rho,Monotonic,Non-monotonic,Monotonic,0.9692,0.0085,113.4383,113.4383,0.9607,0.9807,0.0115,0.9813,0.0022,0.9767,0.9853,0.973,0.9878,0.0148
Monotonicity,3,5,distance_correlation,Monotonic,Non-monotonic,Monotonic,0.5253,0.0104,50.2736,50.2736,0.5149,0.9778,0.4525,0.9777,0.0027,0.9722,0.9826,0.9667,0.9853,0.0186
Monotonicity,4,5,equal_count_distribution_wasserstein_distance_div_y_sd,Monotonic,Non-monotonic,Monotonic,1.8684,0.0555,33.6779,33.6779,1.8129,2.2125,0.3441,2.2007,0.0143,2.1715,2.227,2.1424,2.2503,0.1079
Monotonicity,5,5,equal_width_distribution_wasserstein_distance_div_y_sd,Monotonic,Non-monotonic,Monotonic,1.8684,0.0555,33.6779,33.6779,1.8129,2.2125,0.3441,2.2007,0.0143,2.1715,2.227,2.1424,2.2503,0.1079
Non-linearity,1,5,y_sd,Linear,Non-linear,Linear,0.1291,0.012,10.714,10.714,0.1171,0.2121,0.3412,0.2134,0.0031,0.2077,0.2198,0.2045,0.2242,0.0197
Non-linearity,2,5,equal_width_distribution_wasserstein_distance,Linear,Non-linear,Linear,0.2994,0.0286,10.4746,10.4746,0.2708,0.4661,0.7655,0.4707,0.0076,0.4568,0.4854,0.4499,0.4987,0.0488
Non-linearity,3,5,equal_count_distribution_wasserstein_distance,Linear,Non-linear,Linear,0.2994,0.0286,10.4746,10.4746,0.2708,0.4661,0.7655,0.4707,0.0076,0.4568,0.4854,0.4499,0.4987,0.0488
Non-linearity,4,5,covariance,Linear,Non-linear,Linear,0.0351,0.0035,9.9954,9.9954,0.0316,0.0605,0.0956,0.0611,0.0009,0.0594,0.0629,0.0584,0.0643,0.0059
Non-linearity,5,5,distance_covariance,Linear,Non-linear,Linear,0.0626,0.0063,9.9402,9.9402,0.0563,0.1755,0.2381,0.1768,0.0016,0.1736,0.1799,0.1716,0.182,0.0103
Saturation,1,5,distance_covariance,No saturation,Saturation,Saturation,0.0325,0.0076,4.2581,4.2581,0.0249,0.1822,0.1497,0.1455,0.002,0.1417,0.1493,0.1384,0.1509,0.0125
Saturation,2,5,covariance,No saturation,Saturation,Saturation,0.014,0.0036,3.9112,3.9112,0.0104,0.0647,0.0507,0.0493,0.0009,0.0476,0.0512,0.0469,0.0529,0.0061
Saturation,3,5,pearson_r,No saturation,Saturation,Saturation,0.1148,0.0298,3.8481,3.8481,0.085,0.9857,0.8709,0.8583,0.0076,0.8422,0.872,0.8337,0.8813,0.0476
Saturation,4,5,equal_count_distribution_wasserstein_distance,No saturation,Saturation,Saturation,0.0851,0.0291,2.9243,2.9243,0.056,0.4951,0.41,0.3974,0.0075,0.3828,0.4119,0.3686,0.4226,0.054
Saturation,5,5,equal_width_distribution_wasserstein_distance,No saturation,Saturation,Saturation,0.0851,0.0291,2.9243,2.9243,0.056,0.4951,0.41,0.3974,0.0075,0.3828,0.4119,0.3686,0.4226,0.054
Spread,1,5,MI,Low spread,High spread,High spread,1.2237,0.2757,4.4383,4.4383,0.948,1.6644,0.4407,0.4423,0.0687,0.3109,0.5866,0.2622,0.6631,0.4009
Spread,2,5,lowess_residual_sd,Low spread,High spread,High spread,0.1191,0.0317,3.7571,3.7571,0.0874,0.036,0.1551,0.1598,0.0082,0.1444,0.1761,0.1356,0.1888,0.0532
Spread,3,5,gam_residual_sd,Low spread,High spread,High spread,0.1189,0.0319,3.7256,3.7256,0.087,0.0363,0.1552,0.1606,0.0082,0.1448,0.1767,0.1364,0.1895,0.053
Spread,4,5,lowess_residual_sd_div_y_sd,Low spread,High spread,High spread,0.4354,0.124,3.5122,3.5122,0.3114,0.1776,0.613,0.6341,0.0325,0.5719,0.6958,0.5365,0.7462,0.2097
Spread,5,5,gam_residual_sd_div_y_sd,Low spread,High spread,High spread,0.4346,0.1248,3.483,3.483,0.3098,0.1789,0.6135,0.6372,0.0323,0.575,0.6998,0.5396,0.7504,0.2107
Strength,1,5,covariance,Weak response,Strong response,Weak response,0.0318,0.0021,15.4395,15.4395,0.0297,0.0269,0.0587,0.0271,0.0005,0.0261,0.0282,0.0254,0.0286,0.0033
Strength,2,5,y_sd,Weak response,Strong response,Weak response,0.1078,0.0072,15.0667,15.0667,0.1006,0.0953,0.2031,0.0964,0.0018,0.0929,0.1001,0.0905,0.102,0.0115
Strength,3,5,equal_width_distribution_wasserstein_distance,Weak response,Strong response,Weak response,0.2463,0.0179,13.7931,13.7931,0.2284,0.2048,0.4511,0.2092,0.0045,0.2001,0.2179,0.1944,0.221,0.0266
Strength,4,5,equal_count_distribution_wasserstein_distance,Weak response,Strong response,Weak response,0.2463,0.0179,13.7931,13.7931,0.2284,0.2048,0.4511,0.2092,0.0045,0.2001,0.2179,0.1944,0.221,0.0266
Strength,5,5,distance_covariance,Weak response,Strong response,Weak response,0.0593,0.0059,10.1181,10.1181,0.0534,0.1157,0.175,0.1161,0.0015,0.1131,0.119,0.1111,0.1202,0.0092
Threshold,1,5,gam_curve_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,1.0562,0.0729,14.4916,14.4916,0.9833,3.3522,2.296,2.2909,0.0183,2.2543,2.3272,2.2388,2.3412,0.1024
Threshold,2,5,lowess_curve_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,1.2295,0.1193,10.3022,10.3022,1.1102,3.3425,2.113,2.1608,0.03,2.1125,2.2318,2.0921,2.2756,0.1834
Threshold,3,5,equal_count_bin_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,0.8957,0.0965,9.2816,9.2816,0.7992,3.0093,2.1136,2.1632,0.0247,2.1206,2.2171,2.1047,2.2718,0.1671
Threshold,4,5,equal_width_bin_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,0.8957,0.0965,9.2816,9.2816,0.7992,3.0093,2.1136,2.1632,0.0247,2.1206,2.2171,2.1047,2.2718,0.1671
Threshold,5,5,distance_correlation,No threshold,Threshold-like change,Threshold-like change,0.0712,0.0112,6.377,6.377,0.06,0.9741,0.9029,0.9054,0.0029,0.8996,0.9108,0.8958,0.918,0.0223
Turning point,1,5,distance_covariance,No turning point,Turning point,Turning point,0.1195,0.006,19.7982,19.7982,0.1135,0.171,0.0515,0.0529,0.0016,0.05,0.056,0.0476,0.0577,0.0101
Turning point,2,5,covariance,No turning point,Turning point,Turning point,0.0532,0.0037,14.4645,14.4645,0.0495,0.0569,0.0037,0.0037,0.0009,0.0019,0.0056,0.0006,0.0072,0.0066
Turning point,3,5,distance_correlation,No turning point,Turning point,Turning point,0.5337,0.0396,13.4668,13.4668,0.4941,0.9836,0.4499,0.4576,0.0098,0.4392,0.4788,0.4237,0.4899,0.0663
Turning point,4,5,equal_count_distribution_wasserstein_distance,No turning point,Turning point,Turning point,0.3842,0.029,13.2566,13.2566,0.3552,0.4397,0.0555,0.0588,0.0076,0.044,0.073,0.0346,0.0838,0.0492
Turning point,5,5,equal_width_distribution_wasserstein_distance,No turning point,Turning point,Turning point,0.3842,0.029,13.2566,13.2566,0.3552,0.4397,0.0555,0.0588,0.0076,0.044,0.073,0.0346,0.0838,0.0492
