property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_buffer_width_mean,0.1148,0.1912,0.0764,Clustering,Separated clusters,1,0.2019,0.0106,0.1684,0.2374,0.1816,0.222,0.0404,0.069,1000,1.889,7.1759,True,True,0.036
Clustering,Clustering,Clustering,Single cloud,Separated clusters,y_sd,0.1899,0.1378,0.0521,Clustering,Separated clusters,1,0.1393,0.0044,0.127,0.1548,0.1309,0.1475,0.0166,0.0278,1000,3.1335,11.8442,True,True,0.0355
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_eta_squared,0.9629,0.8251,0.1378,Clustering,Separated clusters,1,0.8011,0.0284,0.6998,0.8748,0.7422,0.8514,0.1093,0.1751,1000,1.2612,4.8452,True,False,0.0285
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_middle_buffer_width,0.1237,0.2283,0.1046,Clustering,Separated clusters,1,0.2493,0.0206,0.2008,0.3212,0.2101,0.2922,0.0821,0.1204,1000,1.2741,5.0723,True,False,0.0225
Clustering,Clustering,Clustering,Single cloud,Separated clusters,x_uniform_ks_distance,0.0692,0.1451,0.0759,Clustering,Separated clusters,1,0.1147,0.0153,0.0769,0.1651,0.0881,0.1452,0.0572,0.0882,1000,1.3275,4.9556,True,False,0.0187
Clustering,Clustering,Clustering,Single cloud,Separated clusters,gam_residual_sd,0.0321,0.0581,0.026,Clustering,Separated clusters,1,0.0612,0.0034,0.0509,0.0727,0.0549,0.0684,0.0136,0.0218,1000,1.9136,7.6112,True,True,0.0124
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_residual_sd,0.0319,0.0557,0.0238,Clustering,Separated clusters,1,0.0581,0.0034,0.0474,0.0702,0.0519,0.0649,0.013,0.0228,1000,1.8354,7.0906,True,True,0.0108
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_late_buffer_width,0.1215,0.1895,0.068,Clustering,Separated clusters,1,0.1966,0.0171,0.1445,0.259,0.1644,0.2322,0.0678,0.1145,1000,1.0033,3.9799,True,False,0.0002
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_div_early_buffer_width,1.3004,0.5519,0.7485,Convexity / Concavity,Concave,1,0.583,0.0738,0.3811,0.8489,0.444,0.7376,0.2936,0.4678,1000,2.5492,10.1457,True,True,0.4549
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_early_slope,0.5799,1.5063,0.9264,Convexity / Concavity,Concave,1,1.7706,0.1715,1.2808,2.3023,1.4271,2.098,0.6709,1.0216,1000,1.3808,5.4017,True,False,0.2555
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_minus_early_buffer_width_div_y_sd,0.157,-0.3565,0.5135,Convexity / Concavity,Concave,1,-0.3205,0.0752,-0.6027,-0.0879,-0.4632,-0.1766,0.2867,0.5147,1000,1.7911,6.832,True,False,0.2268
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_late_slope,1.1209,0.2413,0.8796,Convexity / Concavity,Concave,1,0.1154,0.174,-0.432,0.6128,-0.2137,0.4476,0.6613,1.0448,1000,1.3301,5.0549,True,False,0.2183
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,standardized_early_slope,0.7887,1.6581,0.8694,Convexity / Concavity,Concave,1,1.8732,0.1667,1.3095,2.3346,1.5154,2.1686,0.6532,1.0251,1000,1.331,5.2151,True,False,0.2162
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,gam_curve_amplitude,0.6688,0.8352,0.1664,Convexity / Concavity,Concave,1,0.8514,0.015,0.8026,0.8987,0.8244,0.8819,0.0575,0.0961,1000,2.8935,11.0633,True,True,0.1089
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_curve_amplitude,0.6817,0.8343,0.1526,Convexity / Concavity,Concave,1,0.8556,0.0169,0.8046,0.9075,0.825,0.8907,0.0658,0.103,1000,2.3202,9.027,True,True,0.0868
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_amplitude,0.6154,0.7358,0.1204,Convexity / Concavity,Concave,1,0.7547,0.0119,0.7156,0.7956,0.7307,0.7771,0.0464,0.08,1000,2.5923,10.0876,True,True,0.074
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_count_bin_amplitude,0.6154,0.7358,0.1204,Convexity / Concavity,Concave,1,0.7547,0.0119,0.7156,0.7956,0.7307,0.7771,0.0464,0.08,1000,2.5923,10.0876,True,True,0.074
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_count_bin_late_buffer_width_div_y_sd,0.6797,0.4391,0.2406,Convexity / Concavity,Concave,1,0.4409,0.0426,0.293,0.5918,0.3554,0.5248,0.1694,0.2988,1000,1.4205,5.6479,True,False,0.0712
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_buffer_width_div_y_sd,0.6797,0.4391,0.2406,Convexity / Concavity,Concave,1,0.4409,0.0426,0.293,0.5918,0.3554,0.5248,0.1694,0.2988,1000,1.4205,5.6479,True,False,0.0712
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_distribution_wasserstein_distance,0.4427,0.5373,0.0946,Convexity / Concavity,Concave,1,0.5459,0.0075,0.5229,0.5696,0.5319,0.5608,0.029,0.0467,1000,3.2674,12.6423,True,True,0.0656
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_count_distribution_wasserstein_distance,0.4427,0.5373,0.0946,Convexity / Concavity,Concave,1,0.5459,0.0075,0.5229,0.5696,0.5319,0.5608,0.029,0.0467,1000,3.2674,12.6423,True,True,0.0656
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_minus_early_buffer_width,0.0315,-0.0885,0.12,Convexity / Concavity,Concave,1,-0.0809,0.019,-0.1545,-0.0223,-0.117,-0.0448,0.0722,0.1321,1000,1.6617,6.3104,True,False,0.0478
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,pearson_r,0.9816,0.9204,0.0612,Convexity / Concavity,Concave,1,0.9145,0.0049,0.8979,0.9294,0.9051,0.9241,0.019,0.0316,1000,3.2255,12.5847,True,True,0.0422
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,y_sd,0.2006,0.2483,0.0477,Convexity / Concavity,Concave,1,0.2523,0.003,0.2429,0.2637,0.2466,0.2581,0.0115,0.0208,1000,4.1316,15.6462,True,True,0.0362
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_count_bin_early_buffer_width_div_y_sd,0.5226,0.7956,0.273,Convexity / Concavity,Concave,1,0.7614,0.0629,0.5695,1.0426,0.6401,0.881,0.2409,0.4731,1000,1.1333,4.3379,True,False,0.0321
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_early_buffer_width_div_y_sd,0.5226,0.7956,0.273,Convexity / Concavity,Concave,1,0.7614,0.0629,0.5695,1.0426,0.6401,0.881,0.2409,0.4731,1000,1.1333,4.3379,True,False,0.0321
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_early_buffer_width,0.1048,0.1975,0.0927,Convexity / Concavity,Concave,1,0.1921,0.016,0.1416,0.2672,0.1605,0.2228,0.0623,0.1256,1000,1.489,5.7884,True,False,0.0304
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_count_bin_early_buffer_width,0.1048,0.1975,0.0927,Convexity / Concavity,Concave,1,0.1921,0.016,0.1416,0.2672,0.1605,0.2228,0.0623,0.1256,1000,1.489,5.7884,True,False,0.0304
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,equal_width_bin_late_minus_middle_buffer_width_div_y_sd,0.1627,-0.1381,0.3008,Convexity / Concavity,Concave,1,-0.0931,0.0711,-0.315,0.19,-0.2334,0.0429,0.2763,0.505,1000,1.0886,4.2298,True,False,0.0245
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,distance_correlation,0.9809,0.9409,0.04,Convexity / Concavity,Concave,1,0.9364,0.0044,0.9212,0.9491,0.9276,0.9452,0.0176,0.0279,1000,2.2694,9.0956,True,True,0.0224
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,MIC_minus_r2,0.0365,0.1367,0.1002,Convexity / Concavity,Concave,1,0.1448,0.0211,0.0527,0.1896,0.0974,0.1758,0.0784,0.1369,1000,1.2787,4.7438,True,False,0.0218
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_overall_slope,0.6814,0.9085,0.2271,Convexity / Concavity,Concave,1,0.8579,0.0534,0.7052,1.0,0.7503,0.9619,0.2115,0.2948,1000,1.0737,4.2526,True,False,0.0156
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,covariance,0.0573,0.0665,0.0092,Convexity / Concavity,Concave,1,0.0672,0.0009,0.0645,0.07,0.0655,0.0689,0.0034,0.0055,1000,2.7063,10.3516,True,True,0.0058
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,gam_residual_sd_div_y_sd,0.1882,0.1519,0.0363,Convexity / Concavity,Concave,1,0.1537,0.0086,0.1196,0.1852,0.1371,0.1704,0.0333,0.0657,1000,1.09,4.2263,True,False,0.003
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,distance_covariance,0.1715,0.1807,0.0092,Convexity / Concavity,Concave,1,0.1807,0.0016,0.1755,0.1865,0.1775,0.184,0.0065,0.0109,1000,1.4086,5.5767,True,False,0.0027
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,gam_r2,0.9646,0.9769,0.0123,Convexity / Concavity,Concave,1,0.9763,0.0026,0.9657,0.9857,0.971,0.9812,0.0102,0.02,1000,1.201,4.6592,True,False,0.0021
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_residual_sd_div_y_sd,0.1871,0.1517,0.0354,Convexity / Concavity,Concave,1,0.1531,0.0086,0.119,0.1838,0.1365,0.1701,0.0336,0.0648,1000,1.0545,4.1086,True,False,0.0018
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_r2,0.965,0.977,0.012,Convexity / Concavity,Concave,1,0.9764,0.0026,0.9662,0.9857,0.971,0.9813,0.0103,0.0195,1000,1.165,4.5505,True,False,0.0017
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_width_distribution_wasserstein_distance_div_y_sd,2.2073,1.9049,0.3024,Convexity / Concavity,Convex,0,1.9006,0.0177,1.8462,1.9534,1.8656,1.9345,0.0689,0.1071,1000,4.3917,17.0434,True,True,0.2335
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_count_distribution_wasserstein_distance_div_y_sd,2.2073,1.9049,0.3024,Convexity / Concavity,Convex,0,1.9006,0.0177,1.8462,1.9534,1.8656,1.9345,0.0689,0.1071,1000,4.3917,17.0434,True,True,0.2335
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,raw_late_slope,0.8242,1.6929,0.8687,Convexity / Concavity,Convex,0,1.7527,0.1621,1.1786,2.2367,1.419,2.068,0.6491,1.0581,1000,1.3384,5.3585,True,False,0.2196
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,standardized_early_slope,0.7887,-0.0602,0.8489,Convexity / Concavity,Convex,0,0.111,0.1777,-0.4342,0.629,-0.2295,0.455,0.6845,1.0631,1000,1.2402,4.7761,True,False,0.1644
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,gam_curve_amplitude,0.6688,0.835,0.1662,Convexity / Concavity,Convex,0,0.8526,0.0149,0.8074,0.8995,0.8242,0.8837,0.0594,0.0921,1000,2.7969,11.134,True,True,0.1068
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_width_bin_amplitude,0.6154,0.7462,0.1308,Convexity / Concavity,Convex,0,0.756,0.0118,0.7134,0.7949,0.7337,0.7787,0.045,0.0815,1000,2.9046,11.1191,True,True,0.0858
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_count_bin_amplitude,0.6154,0.7462,0.1308,Convexity / Concavity,Convex,0,0.756,0.0118,0.7134,0.7949,0.7337,0.7787,0.045,0.0815,1000,2.9046,11.1191,True,True,0.0858
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_curve_amplitude,0.6817,0.8309,0.1492,Convexity / Concavity,Convex,0,0.856,0.017,0.8054,0.9152,0.8223,0.8907,0.0684,0.1098,1000,2.1803,8.7638,True,True,0.0808
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,pearson_r,0.9816,0.9147,0.0669,Convexity / Concavity,Convex,0,0.9149,0.0046,0.8996,0.9271,0.9058,0.9238,0.018,0.0275,1000,3.715,14.5579,True,True,0.0489
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,y_sd,0.2006,0.2525,0.0519,Convexity / Concavity,Convex,0,0.2524,0.0029,0.243,0.2623,0.2466,0.2582,0.0116,0.0194,1000,4.4706,17.9652,True,True,0.0403
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,MIC_minus_r2,0.0365,0.1471,0.1106,Convexity / Concavity,Convex,0,0.1445,0.021,0.071,0.1838,0.0986,0.1748,0.0761,0.1128,1000,1.4529,5.2734,True,False,0.0345
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,distance_correlation,0.9809,0.9368,0.0441,Convexity / Concavity,Convex,0,0.9365,0.0041,0.9233,0.9476,0.9281,0.9439,0.0158,0.0243,1000,2.7834,10.8639,True,True,0.0283
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_width_distribution_wasserstein_distance,0.4427,0.4809,0.0382,Convexity / Concavity,Convex,0,0.4798,0.0072,0.459,0.5019,0.4649,0.4933,0.0284,0.0428,1000,1.3448,5.3052,True,False,0.0098
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_count_distribution_wasserstein_distance,0.4427,0.4809,0.0382,Convexity / Concavity,Convex,0,0.4798,0.0072,0.459,0.5019,0.4649,0.4933,0.0284,0.0428,1000,1.3448,5.3052,True,False,0.0098
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,spearman_rho,0.9825,0.9438,0.0387,Convexity / Concavity,Convex,0,0.9459,0.0082,0.9184,0.9713,0.9295,0.9608,0.0314,0.0529,1000,1.2335,4.7158,True,False,0.0073
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,covariance,0.0573,0.0673,0.01,Convexity / Concavity,Convex,0,0.0673,0.0008,0.0646,0.0698,0.0656,0.0689,0.0033,0.0052,1000,2.994,11.7758,True,True,0.0067
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,distance_covariance,0.1715,0.1817,0.0102,Convexity / Concavity,Convex,0,0.1807,0.0015,0.1757,0.1863,0.1776,0.1836,0.0059,0.0107,1000,1.722,6.6215,True,False,0.0043
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,gam_r2,0.9646,0.9754,0.0108,Convexity / Concavity,Convex,0,0.9759,0.0026,0.9672,0.9843,0.9708,0.9807,0.0099,0.0171,1000,1.0956,4.1763,True,False,0.0009
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_r2,0.965,0.9753,0.0103,Convexity / Concavity,Convex,0,0.9759,0.0026,0.9675,0.9841,0.9708,0.9807,0.0099,0.0166,1000,1.0396,3.9707,True,False,0.0004
Density,Density,Density,Even coverage,Uneven coverage,equal_width_bin_x_bin_count_cv,0.0,0.701,0.701,Density,Uneven coverage,1,0.6991,0.0369,0.583,0.8379,0.6274,0.7755,0.148,0.2549,1000,4.7356,18.9748,True,True,0.553
Density,Density,Density,Even coverage,Uneven coverage,x_uniform_ks_distance,0.0059,0.3144,0.3085,Density,Uneven coverage,1,0.3176,0.0064,0.2911,0.3479,0.3057,0.332,0.0263,0.0568,1000,11.7331,48.2164,True,True,0.2822
Density,Density,Density,Even coverage,Uneven coverage,equal_count_distribution_wasserstein_distance_div_y_sd,2.1815,1.8974,0.2841,Density,Uneven coverage,1,1.9341,0.034,1.805,2.0445,1.8654,1.9972,0.1318,0.2395,1000,2.1558,8.3604,True,True,0.1523
Density,Density,Density,Even coverage,Uneven coverage,equal_count_distribution_wasserstein_distance,0.4162,0.342,0.0742,Density,Uneven coverage,1,0.3571,0.0179,0.2947,0.4294,0.3243,0.3926,0.0683,0.1347,1000,1.0867,4.1358,True,False,0.0059
Direction,Direction,Direction,Positive direction,Negative direction,spearman_rho,0.9825,-0.9806,1.9631,Direction,Negative direction,1,-0.9812,0.0021,-0.9869,-0.9743,-0.985,-0.9768,0.0082,0.0127,1000,239.3989,927.6145,True,True,1.9549
Direction,Direction,Direction,Positive direction,Negative direction,pearson_r,0.9816,-0.9793,1.9609,Direction,Negative direction,1,-0.9802,0.0021,-0.986,-0.9736,-0.9841,-0.9759,0.0082,0.0124,1000,238.9048,920.9051,True,True,1.9527
Direction,Direction,Direction,Positive direction,Negative direction,standardized_overall_slope,0.9267,-0.9759,1.9026,Direction,Negative direction,1,-0.8738,0.0708,-1.0,-0.6689,-0.9991,-0.724,0.2751,0.3311,1000,6.9159,26.8604,True,True,1.6275
Direction,Direction,Direction,Positive direction,Negative direction,standardized_late_slope,1.1209,-0.9296,2.0505,Direction,Negative direction,1,-0.8774,0.2151,-1.5957,-0.0756,-1.2886,-0.4275,0.8611,1.5202,1000,2.3813,9.532,True,True,1.1894
