model,variable,tables,members,start,stop,grids,n_tables,n_members,n_grids,n_datasets,n_with_dates
IPSL-CM6A-LR,rsusIs,LImon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,11,1,11,4
IPSL-CM6A-LR,rsut,"Amon, CFday, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",3,33,2,56,28
IPSL-CM6A-LR,rsut4co2,CFmon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,12,1,12,5
IPSL-CM6A-LR,rsutcs,"Amon, CFday, CFsubhr, E3hr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",4,33,2,86,46
IPSL-CM6A-LR,rsutcs4co2,CFmon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,12,1,12,3
IPSL-CM6A-LR,rtmt,"Amon, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",2,33,2,43,23
IPSL-CM6A-LR,sandfrac,Efx,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r33i1p1f1",,,gr,1,11,1,11,0
IPSL-CM6A-LR,sci,"Amon, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",2,33,2,43,23
IPSL-CM6A-LR,sconcdust,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,33,1,33,21
IPSL-CM6A-LR,sconcso4,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,33,1,33,13
IPSL-CM6A-LR,sconcss,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,33,1,33,14
IPSL-CM6A-LR,sf6,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r26i1p1f1",1850-01-16T00:00:00Z,,gn,1,4,1,4,0
IPSL-CM6A-LR,sfcWind,"6hrPlevPt, Amon, CFsubhr, day, E3hr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",5,33,2,96,54
IPSL-CM6A-LR,sfcWindmax,"day, Emon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T12:00:00Z,2014-12-31T12:00:00Z,gr,2,33,1,66,28
IPSL-CM6A-LR,sfdsi,"Odec, Omon, SImon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gn,3,33,1,97,44
IPSL-CM6A-LR,sftgrf,"Efx, LImon","r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,2,11,1,22,5
