target_output,model,x,y,relationship,binning,bin_id,x_left,x_right,x_center,x_median,n_bin,y_q05,y_q25,y_median,y_q75,y_q95,bin_buffer90,bin_buffer50
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,5,1096.8043,1158.4073,1127.6058,1127.5878,602,173.4049,273.2476,322.6829,390.075,549.2474,375.8425,116.8274
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,6,1158.4073,1225.1299,1191.7686,1192.2104,603,189.9739,284.9208,338.2051,412.8834,588.6695,398.6956,127.9626
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,7,1225.1299,1292.6449,1258.8874,1258.9382,602,179.2877,293.1278,348.8346,424.0561,570.2482,390.9605,130.9283
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,8,1292.6449,1361.6351,1327.14,1327.9473,602,190.6701,302.2559,366.6249,445.3246,609.5847,418.9146,143.0687
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,9,1361.6351,1432.2102,1396.9226,1397.4704,602,191.7316,316.1197,392.0292,474.4588,592.1087,400.3771,158.3391
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,10,1432.2102,1497.7543,1464.9822,1464.5195,603,185.5424,312.3667,391.288,488.1553,617.3709,431.8285,175.7886
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,11,1497.7543,1565.0932,1531.4237,1531.9604,602,239.4603,330.1203,416.5846,538.2498,632.9775,393.5172,208.1295
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,12,1565.0932,1648.9752,1607.0342,1604.3917,602,248.9487,330.5506,404.1915,544.5709,647.2317,398.283,214.0202
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,13,1648.9752,1759.2521,1704.1137,1702.3604,603,258.7301,340.8566,409.8728,529.6868,645.296,386.5659,188.8302
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,14,1759.2521,1892.9879,1826.12,1819.819,602,282.25,356.0786,430.2995,531.558,637.9371,355.6871,175.4794
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,15,1892.9879,2078.714,1985.8509,1974.1052,602,272.7514,404.8463,455.188,542.6464,626.7806,354.0292,137.8001
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,16,2078.714,2289.3747,2184.0443,2180.6992,603,296.7142,416.2425,472.8504,551.779,651.7772,355.063,135.5365
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,17,2289.3747,2513.0302,2401.2024,2391.8034,602,292.4161,419.2878,459.8858,530.1277,677.9663,385.5503,110.8399
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,18,2513.0302,2856.5397,2684.7849,2651.2431,602,313.4133,424.4434,466.2697,533.7767,677.0789,363.6656,109.3333
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,19,2856.5397,3859.2297,3357.8847,3119.0552,603,256.7213,399.1606,456.1701,571.1841,688.1842,431.4629,172.0235
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,0,618.8677,799.9045,709.3861,744.5656,608,385.1551,480.1178,546.0342,621.835,725.2893,340.1342,141.7173
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,1,799.9045,887.7044,843.8045,845.0492,607,402.2428,504.4435,576.4326,672.7493,788.0901,385.8474,168.3058
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,2,887.7044,973.7728,930.7386,933.0919,608,397.5085,535.4665,602.1888,714.9125,830.5553,433.0468,179.446
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,3,973.7728,1043.5495,1008.6611,1008.5781,607,432.0292,577.263,642.9463,761.8907,882.6239,450.5946,184.6277
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,4,1043.5495,1107.5688,1075.5591,1075.3737,607,413.3845,594.2098,656.0485,767.6713,873.7903,460.4058,173.4615
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,5,1107.5688,1167.7035,1137.6361,1136.9069,608,406.0388,611.5302,684.7137,806.209,899.8017,493.7628,194.6788
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,6,1167.7035,1233.9019,1200.8027,1201.8492,607,433.3699,618.6072,692.8796,812.7732,921.8238,488.454,194.1659
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,7,1233.9019,1298.2485,1266.0752,1267.9077,608,443.1765,630.9825,722.8674,829.363,936.5872,493.4107,198.3804
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,8,1298.2485,1367.6974,1332.973,1335.3477,607,453.847,649.2439,758.1717,854.8543,969.2482,515.4011,205.6105
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,9,1367.6974,1435.5703,1401.6339,1404.7359,607,478.9844,654.2116,774.3159,882.5294,981.3712,502.3868,228.3178
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,10,1435.5703,1500.1741,1467.8722,1468.3396,608,482.4983,671.0226,811.3125,911.6594,1019.2782,536.7799,240.6369
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,11,1500.1741,1567.4721,1533.8231,1534.8328,607,526.5134,717.4579,848.4064,938.4705,1029.8322,503.3187,221.0125
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,12,1567.4721,1652.5886,1610.0304,1608.0599,608,507.8733,719.8509,848.6333,935.4802,1055.328,547.4547,215.6293
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,13,1652.5886,1763.8423,1708.2155,1707.3411,607,523.1317,729.1906,870.4596,954.4061,1080.7607,557.6289,225.2155
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,14,1763.8423,1901.6536,1832.748,1826.0745,607,554.8192,765.209,902.1491,984.8115,1101.5185,546.6993,219.6026
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,15,1901.6536,2087.8916,1994.7726,1984.5625,608,617.6612,846.491,939.2986,1037.454,1188.0333,570.3721,190.963
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,16,2087.8916,2297.9192,2192.9054,2192.0672,607,622.4626,875.687,992.5275,1092.6946,1212.1828,589.7202,217.0077
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,17,2297.9192,2515.7506,2406.8349,2403.4436,608,630.886,900.4346,1016.2782,1101.7022,1209.2145,578.3285,201.2676
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,18,2515.7506,2845.9428,2680.8467,2651.7477,607,720.7142,915.4053,1038.6615,1123.7944,1239.7208,519.0066,208.389
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,19,2845.9428,3844.1576,3345.0502,3109.4505,608,609.3697,900.3729,1035.6432,1123.2908,1230.6433,621.2736,222.9179
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,0,0.6513,1.2652,0.9583,1.0649,603,113.1406,140.9226,173.5754,205.4899,245.9167,132.7761,64.5673
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,1,1.2652,1.5808,1.423,1.4287,602,146.0693,194.1975,234.56,260.1771,298.5047,152.4354,65.9796
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,2,1.5808,1.8561,1.7185,1.7142,602,176.0904,226.859,262.1708,287.5171,328.029,151.9385,60.6581
