analysis_group,zone,model,x_label,y_label,method,n_raw_points,n_curve_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,abs_pearson_r,abs_spearman_r,abs_spearman_minus_abs_pearson,raw_net_change,absolute_net_change,normalized_net_change,normalized_absolute_net_change,positive_slope_fraction,negative_slope_fraction,flat_slope_fraction,dominant_slope_sign,monotonic_fraction,number_of_slope_sign_changes,early_slope,middle_slope,late_slope,early_absolute_slope,middle_absolute_slope,late_absolute_slope,early_late_slope_sign_consistency,early_late_slope_sign_opposition,has_internal_valley,has_internal_peak,number_of_internal_extrema,turning_point_x_norm,turning_point_y_norm,turning_point_type,turning_point_x,two_line_left_slope,two_line_right_slope,two_line_left_p,two_line_right_p,two_line_test_evidence,u_test_stat,u_test_p,lind_mehlum_stat,lind_mehlum_p,shape_label
all_zones_E_soil,CW,CLASSIC,P,E_soil,Equal-count bins,21322,10,0.5201435379701747,0.1232690357955214,0.5030303030303029,0.1383336983944919,0.4222222222222222,0.108313492063492,0.5201435379701747,0.5030303030303029,-0.0171132349398717,49.457575000000006,49.457575000000006,1.0,1.0,0.7777777777777778,0.2222222222222222,0.0,positive,0.7777777777777778,2,2.401075893682895,-1.4659011588097972,0.1353556544168324,2.401075893682895,1.4659011588097972,0.1353556544168324,True,False,True,True,2,0.3103273922240772,0.7981194932236284,peak,511.9765299479167,3.3844463984843784,0.878831119897004,0.0330333176255014,0.2372102675931144,False,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,CLASSIC,P,E_soil,LOWESS,21322,20661,0.5489470149702751,0.0,0.3484917657645363,0.0,0.2330040843257166,0.0,0.5489470149702751,0.3484917657645363,-0.2004552492057388,50.18171351209298,50.18171351209298,0.634310926366021,0.634310926366021,0.5975314617618587,0.3995643756050339,0.0029041626331074,positive,0.5975314617618587,477,0.5073777699640182,2.5125110193811717,0.1806745336945878,0.5073777699640182,2.5125110193811717,0.1806745336945878,True,False,True,True,477,0.0826376343439167,1.9034890236873208e-06,valley,177.0772786458333,-4.358660454520495,0.9277327999877754,5.050804295868329e-15,0.0,True,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,CLASSIC,P,E_soil,Polynomial degree 3,21322,300,0.9001603177945252,1.3987211296758798e-109,0.8660567339637106,1.0126366135348185e-91,0.7376588628762542,6.116539296182163e-81,0.9001603177945252,0.8660567339637106,-0.0341035838308145,33.01811483931803,33.01811483931803,0.5569442354953265,0.5569442354953265,0.6989966555183946,0.294314381270903,0.0066889632107023,positive,0.6989966555183946,2,0.9236617452041548,1.8494673361623049,-1.08937114387381,0.9236617452041548,1.8494673361623049,1.08937114387381,False,True,True,True,2,0.7642140468227425,0.999988925543164,peak,1637.5703974184785,1.6112681686026575,-1.753297174067605,2.0638368508772928e-187,2.1800118862151653e-40,True,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,CLASSIC,P,E_soil,GAM,21322,300,0.7614964777002675,4.622393841842847e-58,0.7378410871231902,8.373945179221847e-53,0.5129542920847269,4.534869421238158e-40,0.7614964777002675,0.7378410871231902,-0.0236553905770773,5.274644125023599,5.274644125023599,0.0529778113976779,0.0529778113976779,0.4381270903010033,0.5618729096989966,0.0,negative,0.5618729096989966,6,0.0529025299078371,1.8704742261398732,-1.746268357707255,0.0529025299078371,1.8704742261398732,1.746268357707255,False,True,True,True,6,0.7023411371237458,1.0,peak,1504.9881114130435,1.2122430090211531,-1.7225880603847017,4.843220377880386e-68,8.937979558995195e-35,True,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,CLASSIC,P,E_soil,Piecewise linear,21322,300,0.989431071553408,5.757967961230604e-252,1.0,0.0,1.0,0.0,0.989431071553408,1.0,0.0105689284465919,103.17920116265988,103.17920116265988,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,0.5158739729204251,1.2432794105927507,1.2432794105927516,0.5158739729204251,1.2432794105927507,1.2432794105927516,True,False,False,False,0,,,,,,,,,,,,,,Monotonic nonlinear
all_zones_E_soil,CW,CLASSIC,P,E_soil,Symbolic regression,21322,300,0.9650599012170532,2.2289229151852567e-175,1.0,0.0,1.0,0.0,0.9650599012170532,1.0,0.0349400987829469,67.74322503140708,67.74322503140708,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,2.1259658972202407,0.4918613656479444,0.377091350788295,2.1259658972202407,0.4918613656479444,0.377091350788295,True,False,False,False,0,,,,,,,,,,,,,,Monotonic nonlinear
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-width bins,21472,10,0.8290144716420725,0.0030255618991651,0.8787878787878788,0.0008138621117322,0.7333333333333333,0.002212852733686,0.8290144716420725,0.8787878787878788,0.0497734071458062,47.93595000000002,47.93595000000002,0.521504029372405,0.521504029372405,0.6666666666666666,0.3333333333333333,0.0,positive,0.6666666666666666,5,0.1483962441024441,1.203738483271486,0.7964582412743644,0.1483962441024441,1.203738483271486,0.7964582412743644,True,False,True,True,5,0.14996788114207,0.0434496226884181,valley,304.37652994791665,,1.2160558749200767,,7.818565053263218e-05,,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-count bins,21472,10,0.9109752598269416,0.0002465206805472,0.8060606060606059,0.0048620611019646,0.6888888888888888,0.0046869488536155,0.9109752598269416,0.8060606060606059,-0.1049146537663356,47.38916549999999,47.38916549999999,0.8749176161662365,0.8749176161662365,0.6666666666666666,0.3333333333333333,0.0,positive,0.6666666666666666,3,0.0801899335528515,1.2704681235105626,0.9378047516121129,0.0801899335528515,1.2704681235105626,0.9378047516121129,True,False,True,True,3,0.1692176140442421,0.0003148637076077,valley,389.4344075520833,,1.2918771846804729,,5.5889325683177035e-05,,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,LOWESS,21472,20830,0.9506688710199984,0.0,0.9532939341434532,0.0,0.8657935994229765,0.0,0.9506688710199984,0.9532939341434532,0.0026250631234547,58.08500844193249,58.08500844193249,0.591102070290211,0.591102070290211,0.7898122809544386,0.1983772624705939,0.0118104565749675,positive,0.7898122809544386,815,0.8252093901107757,1.3937360690161087,1.1293238393957086,0.8252093901107757,1.3937360690161087,1.1293238393957086,True,False,True,True,815,0.1780312621321331,1.3126294816114037e-06,valley,382.50299479166665,-0.7027050708211663,1.418781919028374,0.0,0.0,True,,,,,Non-monotonic: U-shaped / inverted-U
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Polynomial degree 3,21472,300,0.705769858447685,1.6028383358916667e-46,0.699965999622218,1.7860427222969244e-45,0.5125975473801562,5.127065316039845e-40,0.705769858447685,0.699965999622218,-0.005803858825467,-29.02581843208032,29.02581843208032,-0.3328118690819895,0.3328118690819895,0.5451505016722408,0.4481605351170568,0.0066889632107023,positive,0.5451505016722408,2,-0.788041332446558,2.3522224516264783,-2.5357663832188058,0.788041332446558,2.3522224516264783,2.5357663832188058,True,False,True,True,2,0.7374581939799332,0.9999686611165748,peak,1584.440644596572,1.409736043162359,-3.356362097485482,5.182978056322331e-70,1.4352198002780698e-43,True,,,,,Non-monotonic: U-shaped / inverted-U
