analysis_group,zone,model,x_label,y_label,method,n_raw_points,n_curve_points,tightness_n_raw,tightness_n_predicted,tightness_prediction_fraction,r_squared,rmse,normalized_rmse_raw_y_range,normalized_rmse_raw_y_std,residual_variance,residual_standard_deviation,mean_absolute_residual,median_absolute_residual,residual_iqr,residual_90_interval_width,residual_95_interval_width,mean_buffer_width,median_buffer_width,buffer_width_90,buffer_width_95,early_mean_absolute_residual,early_median_absolute_residual,early_rmse,early_residual_variance,early_buffer_width_90,early_buffer_width_95,middle_mean_absolute_residual,middle_median_absolute_residual,middle_rmse,middle_residual_variance,middle_buffer_width_90,middle_buffer_width_95,late_mean_absolute_residual,late_median_absolute_residual,late_rmse,late_residual_variance,late_buffer_width_90,late_buffer_width_95
all_zones_E_soil,HD,CLASSIC,P,E_soil,Symbolic regression,11147,300,11147,11147,1.0,0.7578378306665351,56.500884710743925,0.1204934463131802,0.4920776817821742,3161.558765318688,56.227740176168275,38.573614730934295,22.130684808176568,46.718961115027206,199.5266318984061,256.79864394461487,38.573614730934295,22.130684808176568,199.5266318984061,256.79864394461487,30.028788915395836,17.943890063781595,45.91378789286906,2069.9631861581,142.5166786989124,208.70370044739408,65.2366127553115,59.37970129813431,80.20051311470054,6372.408142280795,259.4791262857485,301.05162190442184,92.65396308576956,81.14801229991832,113.6065209426802,6112.810031811214,245.53179991914652,313.44452385977206
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Equal-width bins,11341,10,11341,9032,0.7964024336478265,0.3032956091927113,35.456798244117465,0.1617331879906295,0.834641991200049,1202.2235385055544,34.673095311863264,25.37186657814241,17.757570504404953,38.49229011168314,114.70777463670257,143.4285194372093,25.37186657814241,17.757570504404953,114.70777463670257,143.4285194372093,20.172106462136295,14.245829458965344,28.11338409004103,753.550513961535,87.70992572797567,112.10276776742094,38.61800036195596,31.88387689297246,49.620327786301125,2336.323804990096,156.09432820475735,180.3729616202936,32.37816128964897,30.118401531149964,39.65493768278626,1584.109765738237,120.9898340480287,144.36639308228075
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Equal-count bins,11341,10,11341,10207,0.9000088175645886,0.3832079561445141,31.50347517166718,0.1436774345483765,0.7853226187483031,957.1259506866704,30.93745223328305,21.272902966335625,13.465706606990024,28.385928530443906,103.4200106088844,132.29624331605297,21.272902966335625,13.465706606990024,103.4200106088844,132.29624331605297,12.07083199319666,7.340234756216768,17.69281321192837,296.6124617462841,57.43683735291607,69.57156550141056,28.48068719132743,21.877829710660276,37.879268596028794,1371.741942073539,122.13776722116552,142.68583664753305,38.99944474971235,32.568970479736635,49.38665839371182,2363.340271637397,159.40084854054066,182.4240052938984
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,LOWESS,11341,11094,11341,11341,1.0,0.3691852652252601,34.290576683066746,0.1563885273024843,0.7942034451436649,1120.9516909128488,33.48061664475206,22.24466033661196,13.062451599141877,28.969108142806142,109.91546462114415,140.88510497793203,22.24466033661196,13.062451599141877,109.91546462114415,140.88510497793203,17.296161521539922,10.2462428360725,27.536326180819884,734.0780980679328,82.06669115663868,109.301804810343,38.70217574102028,30.86773290733595,50.82397761741712,2322.2165550404443,155.9355789012432,179.1138775345504,36.45844589162496,32.99735785979124,44.48782291747827,1978.2529206926704,144.06900306910163,166.84514321297985
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Polynomial degree 3,11341,300,11341,11341,1.0,0.4117243761965111,33.11420254716024,0.15102345513203,0.7669574644140317,1096.647107604241,33.11566257232733,23.16329276104165,15.417625252867786,29.1836740396951,109.43109897314744,142.03420694170137,23.16329276104165,15.417625252867786,109.43109897314744,142.03420694170137,18.026687111897974,11.660932137774491,26.91091532816155,724.1668634409083,81.158109154734,109.1162301659333,40.28109043373422,36.08784955085953,48.36483022761709,2337.039335395059,156.96160039406809,181.87899514770945,37.17122989716822,30.664425723900536,45.54832917312215,1934.733073619087,143.6981724326342,171.12418596261563
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,GAM,11341,300,11341,11341,1.0,0.4229031243777664,32.79806603153341,0.1495816559881318,0.7596354321202287,1075.8079917328594,32.799512065469195,23.11132893329016,14.603243033209536,28.381158087915324,107.85222894799216,140.45067817546473,23.11132893329016,14.603243033209536,107.85222894799216,140.45067817546473,18.194234346721647,11.65540240145987,26.721389624982855,714.1075608323106,80.94210318523716,107.97018800364356,39.69878710228816,35.06412580722676,48.01482177381136,2306.2435877399876,154.76985665852118,178.29057976439495,32.19261400922287,30.16578043568211,39.204733259736784,1550.2239755456303,121.63298962901452,144.8475190058807
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Piecewise linear,11341,300,11341,11341,1.0,0.4126819033409055,33.08724183386148,0.150900495804551,0.7663330278061756,1094.8621121975436,33.08870067254899,23.24616675151653,15.03496248529649,28.651764684680973,109.59850132097074,141.94280791316416,23.24616675151653,15.03496248529649,109.59850132097074,141.94280791316416,18.095010592633994,11.50404143879345,26.831530594686317,719.8648747421945,81.13232800637299,109.0223373703996,40.40061411356048,36.6395751808322,48.41474015564736,2339.3463398507533,157.28294914532594,181.70123100623871,37.54849722267557,30.24265536795309,45.991582243741,1640.8442755619185,125.48117167940352,146.22049843624706
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Symbolic regression,11341,300,11341,11341,1.0,0.3755050212488474,34.118375900696535,0.1556031737342396,0.7902151058433698,1113.401760448483,33.36767538274854,22.480366733349513,13.62941600101589,29.794118651638,110.3161636423792,141.81490190392768,22.480366733349513,13.62941600101589,110.3161636423792,141.81490190392768,17.400268985862656,10.11812184327079,28.17640624748901,742.975120412494,81.20903656312426,109.41259474813428,39.19156836959428,33.773469661224354,48.76701848268764,2343.9124334997805,158.4376321518945,182.06324941674893,41.03008099779347,32.2564549810142,50.89680858367413,1622.8165515146727,124.49579566206928,144.77149146194347
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-width bins,11147,10,11147,7253,0.6506683412577375,-0.0186582885997437,94.28266589988644,0.206988211140382,1.009216449590471,7927.814343599188,89.03827459918115,75.38048193009138,64.37042178973206,123.56329762967836,289.98369456587295,345.6242104486305,75.38048193009138,64.37042178973206,289.98369456587295,345.6242104486305,77.67103965759274,66.23353244939923,97.27042518905124,7834.3775692364625,283.00152090401326,342.49257488342585,67.08563424603761,59.73699347305218,81.90995642796186,6645.490919700595,273.82844634640014,308.0118776834273,51.345294806549575,44.638110493952,63.605771744619375,4031.177588306956,211.78201749828224,247.84284967611728
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-count bins,11147,10,11147,10590,0.9500313985825782,0.6087686407651256,72.00652679087017,0.1535606851909071,0.6254553667239153,5156.811379537603,71.8109419206962,54.40763550412225,40.35922018560469,80.09911944313009,246.4676901369844,295.84742025909065,54.40763550412225,40.35922018560469,246.4676901369844,295.84742025909065,48.66128615222021,35.26847275856076,65.36192877572867,4215.352197135086,223.333098321224,268.51575328870223,77.82143401017727,71.24590809208372,94.87050100200712,8919.014844974368,306.9021009965522,362.5295972338914,72.21037111548749,63.29949031386781,88.83813561475431,7578.112545001813,285.202500632177,312.5715871817286
