model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
LPJ-GUESS,1996,HD,precipitation,evspsblsoi,0.25643575114898765,0.4316582823472441,11131
LPJ-GUESS,1996,HD,lai,evspsblsoi,0.20872807485920963,0.5800954263143658,11131
LPJ-GUESS,1996,CW,precipitation,evapotrans,0.22407138681361544,0.48279698027642187,21289
LPJ-GUESS,1996,CW,lai,evapotrans,0.3686670396382019,0.7614748703901117,21289
LPJ-GUESS,1996,CW,precipitation,tran,0.20429704113783953,0.4628272647060855,21289
LPJ-GUESS,1996,CW,lai,tran,0.3841442515105755,0.8535868666068855,21289
LPJ-GUESS,1996,CW,precipitation,evspsblveg,0.2287665853982328,0.45047596011506497,21289
LPJ-GUESS,1996,CW,lai,evspsblveg,0.5217045693455127,0.83644261229428,21289
LPJ-GUESS,1996,CW,precipitation,evspsblsoi,0.13619111795728212,0.3321163770915637,21289
LPJ-GUESS,1996,CW,lai,evspsblsoi,0.13577250127806773,0.4025591051295441,21289
LPJ-GUESS,1996,CD,precipitation,evapotrans,0.28312161638911226,0.4414531889176919,10353
LPJ-GUESS,1996,CD,lai,evapotrans,0.4794088949922798,0.7399271917527496,10353
LPJ-GUESS,1996,CD,precipitation,tran,0.25616615442417767,0.4412919874380321,10353
LPJ-GUESS,1996,CD,lai,tran,0.5777895366042469,0.8597540600583197,10353
LPJ-GUESS,1996,CD,precipitation,evspsblveg,0.27337859836476996,0.4453840249986295,10353
LPJ-GUESS,1996,CD,lai,evspsblveg,0.6090430974988696,0.77728351359183,10353
LPJ-GUESS,1996,CD,precipitation,evspsblsoi,0.1474816881232659,0.40444125643473894,10353
LPJ-GUESS,1996,CD,lai,evspsblsoi,0.1691203049016789,0.5085972419952489,10353
LPJ-GUESS,1997,HW,precipitation,evapotrans,0.2928969102636478,0.4452722923325369,12107
LPJ-GUESS,1997,HW,lai,evapotrans,0.45100713541172477,0.7285186989094011,12107
LPJ-GUESS,1997,HW,precipitation,tran,0.2535547702408347,0.4247833640269392,12107
LPJ-GUESS,1997,HW,lai,tran,0.40537046732748694,0.7137383652522509,12107
LPJ-GUESS,1997,HW,precipitation,evspsblveg,0.33510795953710276,0.5335464254629635,12107
LPJ-GUESS,1997,HW,lai,evspsblveg,0.49096946852002155,0.7425548424975021,12107
LPJ-GUESS,1997,HW,precipitation,evspsblsoi,0.12315354480851573,0.2658707177270221,12107
LPJ-GUESS,1997,HW,lai,evspsblsoi,0.1290557977573424,0.24520145411370142,12107
LPJ-GUESS,1997,HD,precipitation,evapotrans,0.48450794625234095,0.648142042389339,11193
LPJ-GUESS,1997,HD,lai,evapotrans,0.5062377409856649,0.8046401768962744,11193
LPJ-GUESS,1997,HD,precipitation,tran,0.46315283704939103,0.6526591704242322,11193
LPJ-GUESS,1997,HD,lai,tran,0.5561385910238327,0.8558044090056285,11193
LPJ-GUESS,1997,HD,precipitation,evspsblveg,0.4624303351859994,0.62735120307845,11193
LPJ-GUESS,1997,HD,lai,evspsblveg,0.581246441607391,0.8106255025462342,11193
LPJ-GUESS,1997,HD,precipitation,evspsblsoi,0.27894588464783976,0.4651760415125007,11193
LPJ-GUESS,1997,HD,lai,evspsblsoi,0.2231619053367566,0.5283458411507191,11193
LPJ-GUESS,1997,CW,precipitation,evapotrans,0.23726605707873838,0.5031748885789284,21197
LPJ-GUESS,1997,CW,lai,evapotrans,0.3665587546352772,0.7744083133871739,21197
LPJ-GUESS,1997,CW,precipitation,tran,0.22252491945360986,0.49146198955741116,21197
LPJ-GUESS,1997,CW,lai,tran,0.38778590374979455,0.8580007761867334,21197
LPJ-GUESS,1997,CW,precipitation,evspsblveg,0.22409318126912592,0.5027758983019,21197
LPJ-GUESS,1997,CW,lai,evspsblveg,0.529116831446337,0.8375277829454328,21197
LPJ-GUESS,1997,CW,precipitation,evspsblsoi,0.09128967135165927,0.33453763927077607,21197
