model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples,hsic
LPJ-GUESS,2007,CW,precipitation,evspsblsoi,0.10583864062366605,0.4163959716402967,22401,0.0008307198295250388
LPJ-GUESS,2007,CW,precipitation,evspsblveg,0.22102930510978408,0.4414860414070497,22401,0.0004281395592982821
LPJ-GUESS,2007,CW,precipitation,tran,0.2067207325025104,0.4614802305284495,22401,0.009551316517648454
LPJ-GUESS,2007,HD,lai,evapotrans,0.48708264279861213,0.7996501196265486,11879,0.0006660574964886778
LPJ-GUESS,2007,HD,lai,evspsblsoi,0.20288072573735513,0.5783392331712898,11879,0.0012518516687781494
LPJ-GUESS,2007,HD,lai,evspsblveg,0.5439478050703743,0.8148014221968258,11879,0.04922654069139117
LPJ-GUESS,2007,HD,lai,tran,0.5917603370461355,0.8649727201583419,11879,0.0009650539606290928
LPJ-GUESS,2007,HD,precipitation,evapotrans,0.5077596562231653,0.6549074493376712,11879,0.056280589937489515
LPJ-GUESS,2007,HD,precipitation,evspsblsoi,0.2699949556468729,0.5068441084877058,11879,0.0045321895699985066
LPJ-GUESS,2007,HD,precipitation,evspsblveg,0.477167960258703,0.6587299461489209,11879,0.00010693100623624771
LPJ-GUESS,2007,HD,precipitation,tran,0.4551256119425991,0.6511187614323519,11879,0.038232417865726384
LPJ-GUESS,2007,HW,lai,evapotrans,0.42581294459854246,0.730744689959406,13288,0.0008053069565611381
LPJ-GUESS,2007,HW,lai,evspsblsoi,0.14228586268894208,0.22815920631275005,13288,0.00039947571419777866
LPJ-GUESS,2007,HW,lai,evspsblveg,0.4716803780709944,0.7840244868670863,13288,0.005343306890355481
LPJ-GUESS,2007,HW,lai,tran,0.46712309436735017,0.7899651705188159,13288,0.001081754435799795
LPJ-GUESS,2007,HW,precipitation,evapotrans,0.3270487320546744,0.5808539100662342,13288,0.02467618718592951
LPJ-GUESS,2007,HW,precipitation,evspsblsoi,0.10091440869174673,0.29864858804359196,13288,0.0005253463150061798
LPJ-GUESS,2007,HW,precipitation,evspsblveg,0.3782158718876686,0.6154613043263575,13288,0.0022881138899789916
LPJ-GUESS,2007,HW,precipitation,tran,0.2638823580308489,0.42883456121014607,13288,0.012637114953026682
LPJ-GUESS,2008,CD,lai,evapotrans,0.4898804746280122,0.7242549272425861,10675,0.0011000795472838074
LPJ-GUESS,2008,CD,lai,evspsblsoi,0.19629738840598943,0.48027331175608945,10675,0.0005209711696400987
LPJ-GUESS,2008,CD,lai,evspsblveg,0.6024338378044325,0.7434345534124499,10675,0.05323035707214059
LPJ-GUESS,2008,CD,lai,tran,0.5935367220922553,0.8677453455967972,10675,0.02296390630001217
LPJ-GUESS,2008,CD,precipitation,evapotrans,0.23988787416601326,0.4443544383663079,10675,0.013316369011305838
LPJ-GUESS,2008,CD,precipitation,evspsblsoi,0.18806592072409414,0.40734545742142697,10675,0.002212111884149166
LPJ-GUESS,2008,CD,precipitation,evspsblveg,0.22288891226062846,0.4427146121372378,10675,4.225316503830493e-05
LPJ-GUESS,2008,CD,precipitation,tran,0.22959745428815798,0.4188602362075348,10675,0.011626646849422904
LPJ-GUESS,2008,CW,lai,evapotrans,0.3371371147833854,0.7764180437695399,22390,0.0010184611550925974
LPJ-GUESS,2008,CW,lai,evspsblsoi,0.14642697632871818,0.3057615006699419,22390,0.00027793530299722566
