target_output,model,x,y,relationship,descriptor_group,descriptor_metric,n_methods,mean,median,sd,iqr,local_range,global_range,robustness_score,score_type,decision
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,pos_fraction,7,1.0,1.0,0.0,0.0,0.0,0.505,0.0,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,neg_fraction,7,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,range_over_global_range,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,flat_fraction,7,0.0,0.0,0.0,0.0,0.0,0.505,0.0,range_over_global_range,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,direction_consistency,7,1.0,1.0,0.0,0.0,0.0,0.7777000000000001,0.0,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Dominant curvature,slope_trend,7,-0.7293714285714287,-0.6898,0.16826946360214137,0.15174999999999994,0.5281,4.8495,0.2307047644184796,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Dominant curvature,linear_deviation,7,0.37642857142857145,0.3399,0.14029354599417268,0.18505,0.3812,2.0456000000000003,0.3726963271192443,cv,method-sensitive
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Dominant curvature,curvature_consistency,7,0.9717428571428571,1.0,0.04918952656622671,0.041200000000000014,0.11539999999999995,0.11539999999999995,0.05061990032101187,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,early_slope_norm,7,1.385057142857143,1.383,0.0563666230182028,0.027099999999999902,0.18979999999999997,1.7539999999999998,0.04069624369571338,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,middle_slope_norm,7,0.8968571428571429,0.906,0.04992393738287801,0.03260000000000007,0.15400000000000003,0.8452,0.05566542874803218,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,late_slope_norm,7,0.8657285714285715,0.885,0.12199369811983067,0.13895000000000002,0.3545999999999999,2.0547,0.14091448768812637,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,middle_to_early_ratio,7,0.6483857142857143,0.6489,0.04387631967897295,0.04354999999999998,0.12990000000000002,0.715,0.06767009005944667,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,late_to_early_ratio,7,0.6280428571428571,0.6503,0.10527443274829928,0.10454999999999992,0.31589999999999996,1.2614,0.16762300781068057,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Marginal-response pattern,marginal_variation,7,0.2992388897723847,0.3015577722427329,0.06466394057982573,0.04115939864890161,0.2105771217037306,1.4374309936044996,0.2160947082413392,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Terminal behavior,terminal_slope_norm,7,0.8150000000000001,0.8029,0.2502032706953822,0.13544999999999996,0.8158000000000001,3.8123000000000005,0.30699787815384316,cv,method-sensitive
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Terminal behavior,terminal_to_early_ratio,7,0.5933999999999999,0.5887,0.1909697881865087,0.12395,0.598,2.0132000000000003,0.32182303368134263,cv,method-sensitive
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Terminal behavior,terminal_to_mean_ratio,7,0.8016469480911651,0.7907228678353357,0.24608107118147077,0.13164873959553347,0.8158000000000001,4.375649741214929,0.30696938567211496,cv,method-sensitive
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Terminal behavior,terminal_y_range_norm,7,0.05434285714285714,0.0736,0.04387937469711167,0.06375,0.1133,0.2228,0.8074543188217186,cv,remove-or-redefine
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Turning complexity,n_slope_sign_changes,7,0.0,0.0,0.0,0.0,0.0,140.0,0.0,range_over_global_range,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Turning complexity,n_internal_extrema,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,range_over_global_range,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Turning complexity,turning_strength,7,0.0,0.0,0.0,0.0,0.0,0.2658,0.0,range_over_global_range,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Turning complexity,roughness_ratio,7,1.0,1.0,0.0,0.0,0.0,0.724,0.0,cv,keep
