target_output,model,x,y,relationship,method,x_mid,local_slope,dy,abs_dy,cumulative_signed_change,cumulative_absolute_change,cumulative_absolute_fraction,scale
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.04908312324268959,2.9053499060596737,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.24163918611571356,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009337500724623686,3.6594400689146283,0.0010276876260341058,0.0010276876260341058,0.03501782455408831,0.03501782455408831,0.034277887474381735,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009593131855745153,3.657423565281015,0.0008427813185441849,0.0008427813185441849,0.0358606058726325,0.0358606058726325,0.03510286057223786,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009723242062955323,3.6563961955731754,0.00010892435189348293,0.00010892435189348293,0.03596953022452598,0.03596953022452598,0.0352094833200804,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009826541194051009,3.655579878559296,0.0006463364164714935,0.0006463364164714935,0.036615866640997474,0.036615866640997474,0.035842162455250105,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.010133057010170508,3.653155085251879,0.0015935919315484479,0.0015935919315484479,0.03820945857254592,0.03820945857254592,0.037402081313868143,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.010458090986969665,3.650579851418628,0.0007806564193096957,0.0007806564193096957,0.03899011499185562,0.03899011499185562,0.03816624223014435,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01069858553457905,3.648671223547227,0.0009747228008259376,0.0009747228008259376,0.039964837792681555,0.039964837792681555,0.03912036884739947,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.010854862707967015,3.647429864630075,0.00016562888025124095,0.00016562888025124095,0.040130466672932796,0.040130466672932796,0.03928249793999889,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.011181627730221012,3.6448305475478624,0.002216495424052077,0.002216495424052077,0.04234696209698487,0.04234696209698487,0.04145215815449296,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.011580251267286316,3.641655367527278,0.0006887345541086096,0.0006887345541086096,0.04303569665109348,0.04303569665109348,0.042126339542002865,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.011688622764133402,3.640790825277819,0.00010054485686833425,0.00010054485686833425,0.04313624150796182,0.04313624150796182,0.04222475985604999,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.011861002685938461,3.6394143368040957,0.0011542170741202784,0.0011542170741202784,0.044290458582082096,0.044290458582082096,0.04335458797905616,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012019936812815225,3.6381444788222006,2.636285636035962e-06,2.636285636035962e-06,0.04429309486771813,0.04429309486771813,0.04335716855919022,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012037810863558191,3.638001604600335,0.00012741546846124774,0.00012741546846124774,0.04442051033617938,0.04442051033617938,0.04348189170079099,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012156971201844736,3.637048946874841,0.0007394018626741133,0.0007394018626741133,0.04515991219885349,0.04515991219885349,0.0442056697815208,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012286517812860318,3.636013095605505,0.0002028750712752131,0.0002028750712752131,0.045362787270128706,0.045362787270128706,0.04440425804201619,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012612075128983033,3.6334082131569843,0.0021630355233137194,0.0021630355233137194,0.047525822793442425,0.047525822793442425,0.04652158797942322,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.012971085904942267,3.630533534909672,0.00044547714916963466,0.00044547714916963466,0.04797129994261206,0.04797129994261206,0.04695765206353156,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.013067138799250276,3.629763809214843,0.0002519159374974739,0.0002519159374974739,0.048223215880109534,0.048223215880109534,0.04720424494211555,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.013105946422935486,3.629452757241981,2.980652396717548e-05,2.980652396717548e-05,0.04825302240407671,0.04825302240407671,0.047233421645339106,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01315900497896983,3.6290274136490623,0.0003552988778798144,0.0003552988778798144,0.048608321281956524,0.048608321281956524,0.04758121295193289,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.013511413628078063,3.6262013076302626,0.0022007872196444234,0.0022007872196444234,0.05080910850160095,0.05080910850160095,0.049735496881064684,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.013873322898752372,3.6232982582203848,0.00042358513772160905,0.00042358513772160905,0.051232693639322556,0.051232693639322556,0.050150131538457945,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.013990470393486772,3.622358815923593,0.00042522520930490804,0.00042522520930490804,0.051657918848627464,0.051657918848627464,0.05056637161223267,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.014096506991813378,3.621509162954547,0.0003428995555346953,0.0003428995555346953,0.05200081840416216,0.05200081840416216,0.05090202559786158,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.014150330428397532,3.621078194924713,4.693899549308711e-05,4.693899549308711e-05,0.052047757399655246,0.052047757399655246,0.05094797275837658,normalized
