target_output,model,x,y,relationship,descriptor_metric,mean,median,sd,cv,iqr,n_methods
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,middle_to_early_ratio,0.6483857142857143,0.6489,0.04387631967897295,0.06767009005944667,0.04354999999999998,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,late_to_early_ratio,0.6280428571428571,0.6503,0.10527443274829928,0.16762300781068057,0.10454999999999992,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,marginal_variation,0.2992388897723847,0.3015577722427329,0.06466394057982573,0.2160947082413392,0.04115939864890161,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,terminal_slope_norm,0.8150000000000001,0.8029,0.2502032706953822,0.30699787815384316,0.13544999999999996,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,terminal_to_early_ratio,0.5933999999999999,0.5887,0.1909697881865087,0.32182303368134263,0.12395,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,terminal_to_mean_ratio,0.8016469480911651,0.7907228678353357,0.24608107118147077,0.30696938567211496,0.13164873959553347,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,terminal_y_range_norm,0.05434285714285714,0.0736,0.04387937469711167,0.8074543188217186,0.06375,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,n_slope_sign_changes,0.0,0.0,0.0,,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,n_internal_extrema,0.0,0.0,0.0,,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,turning_strength,0.0,0.0,0.0,,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,roughness_ratio,1.0,1.0,0.0,0.0,0.0,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,net_change_norm,0.7152000000000001,0.7307,0.07446014593951139,0.10411094230916021,0.10460000000000003,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,mean_slope_norm,1.0903571428571428,1.0,0.2831194203697023,0.2596575096741456,0.14265000000000005,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,pos_fraction,0.8299714285714286,0.8889,0.1838338082280271,0.2214941405205325,0.22465000000000002,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,neg_fraction,0.09395714285714286,0.0549,0.11358026320834175,1.2088518206756762,0.15925,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,flat_fraction,0.07608571428571428,0.0076,0.18919104478957618,2.4865514711359995,0.01,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,direction_consistency,0.7360142857142857,0.7778,0.23998990554168056,0.32606691228659457,0.4062500000000001,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,slope_trend,-2.6412000000000004,-2.8326,1.118688498495746,0.4235531192244986,0.9484499999999998,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,linear_deviation,1.2596285714285713,1.3251,0.6573983792553941,0.5218985930986185,0.92155,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,curvature_consistency,0.9953142857142857,1.0,0.012353195075421911,0.012411351120673065,4.999999999999449e-05,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,early_slope_norm,1.9070857142857143,2.0625,0.330044771854625,0.17306236913333545,0.30889999999999995,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,middle_slope_norm,1.0310142857142859,0.953,0.16853851615749865,0.16346865265861502,0.1812499999999999,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,late_slope_norm,0.008157142857142847,0.0187,0.541608972898169,66.39689685266528,0.22245,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,middle_to_early_ratio,0.5602285714285714,0.4894,0.1559927104523981,0.27844476059944584,0.22705000000000003,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,late_to_early_ratio,0.03865714285714287,0.0085,0.3171494119871729,8.204160694420581,0.1264,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,marginal_variation,0.9622867324002808,1.0107741109334634,0.3968746553856209,0.4124286888957475,0.24925361548042235,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,terminal_slope_norm,0.059449999999999996,0.14395,0.8905834441533259,14.980377529912968,0.6929750000000001,6
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,terminal_to_early_ratio,0.05933333333333333,0.0652,0.46459606828584626,7.830270813806399,0.40305,6
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,terminal_to_mean_ratio,-0.0284807138099963,0.14241031823301742,1.1010820878776728,38.66062119170657,0.6689371110665452,6
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,terminal_y_range_norm,0.04674285714285715,0.008,0.06070968778107981,1.2988013889595313,0.08355000000000001,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,n_slope_sign_changes,2.5714285714285716,1.0,4.68533680244878,1.8220754231745253,2.0,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,n_internal_extrema,0.5714285714285714,1.0,0.5345224838248488,0.9354143466934854,1.0,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,turning_strength,0.04245714285714285,0.0002,0.0988522779562659,2.328283801123356,0.0156,7
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,roughness_ratio,1.1498428571428572,1.0476,0.2649889171087655,0.23045663628090277,0.13834999999999997,7
